STATE,SALES_MONTH,CATEGORY_GROUP,TOTAL_DOLLARS
Oregon,2022-09-01,Flower,27152118.19
New Jersey,2022-09-01,Other,605437.10
Louisiana,2022-09-01,Other,38290.47
Virginia,2022-09-01,Concentrates,146045.37
Louisiana,2022-09-01,Concentrates,6189.72
Ontario,2022-09-01,Vapes,26621648.01
Missouri,2022-09-01,Concentrates,2530782.02
Alberta,2022-09-01,Vapes,14342648.05
Colorado,2022-09-01,Concentrates,18410408.66
Michigan,2022-09-01,Other,2743902.51
Montana,2022-09-01,Other,2460545.19
Delaware,2022-09-01,Vapes,700059.28
Ohio,2022-09-01,Vapes,10609431.72
South Dakota,2022-09-01,Pre-Rolls,276678.21
Iowa,2022-09-01,Vapes,205727.96
Alberta,2022-09-01,Pre-Rolls,15731828.59
Maryland,2022-09-01,Edibles,5302129.56
Ontario,2022-09-01,Other,12365315.23
Washington,2022-09-01,Other,4254765.51
Pennsylvania,2022-09-01,Pre-Rolls,0.06
Massachusetts,2022-09-01,Other,5408264.73
New Brunswick,2022-09-01,Concentrates,0.00
Pennsylvania,2022-09-01,Other,4384577.70
Utah,2022-09-01,Flower,1769636.42
Arkansas,2022-09-01,Other,516881.94
Alberta,2022-09-01,Other,5607417.90
California,2022-09-01,Flower,132175423.15
Ontario,2022-09-01,Flower,76343328.99
Ohio,2022-09-01,Pre-Rolls,79180.59
Nunavut,2022-09-01,Other,31931.96
Colorado,2022-09-01,Pre-Rolls,2164761.71
Oregon,2022-09-01,Other,4065979.73
British Columbia,2022-09-01,Concentrates,2610698.69
Illinois,2022-09-01,Edibles,18804131.46
Nova Scotia,2022-09-01,Edibles,601634.30
Oklahoma,2022-09-01,Flower,60578265.25
New Mexico,2022-09-01,Edibles,6066651.93
New Brunswick,2022-09-01,Vapes,471602.35
Saskatchewan,2022-09-01,Concentrates,261513.54
British Columbia,2022-09-01,Vapes,9424433.75
California,2022-09-01,Pre-Rolls,54631323.36
Nova Scotia,2022-09-01,Pre-Rolls,16434.90
Louisiana,2022-09-01,Flower,172758.77
West Virginia,2022-09-01,Vapes,838022.31
Maryland,2022-09-01,Concentrates,2989707.64
Mississippi,2022-09-01,Pre-Rolls,7218.94
Illinois,2022-09-01,Flower,48677045.72
Nova Scotia,2022-09-01,Vapes,41355.41
Vermont,2022-09-01,Pre-Rolls,18456.95
Arkansas,2022-09-01,Concentrates,2313118.43
New Jersey,2022-09-01,Edibles,5858917.38
Newfoundland and Labrador,2022-09-01,Edibles,157442.64
Nevada,2022-09-01,Pre-Rolls,6397945.41
British Columbia,2022-09-01,Flower,20366194.58
Montana,2022-09-01,Concentrates,2584960.70
Michigan,2022-09-01,Pre-Rolls,25993289.85
Oklahoma,2022-09-01,Edibles,29428212.00
Yukon,2022-09-01,Edibles,46108.97
Connecticut,2022-09-01,Flower,4491981.58
New Jersey,2022-09-01,Concentrates,771892.04
Maine,2022-09-01,Vapes,3264999.26
Puerto Rico,2022-09-01,Flower,7747027.66
Vermont,2022-09-01,Edibles,155351.70
Virginia,2022-09-01,Flower,1289786.61
Yukon,2022-09-01,Vapes,199706.77
North Dakota,2022-09-01,Vapes,365816.61
Illinois,2022-09-01,Concentrates,7445626.94
South Carolina,2022-09-01,Other,0.00
Minnesota,2022-09-01,Pre-Rolls,259976.28
Minnesota,2022-09-01,Concentrates,0.00
New Hampshire,2022-09-01,Edibles,207162.55
Saskatchewan,2022-09-01,Flower,3827155.95
Colorado,2022-09-01,Vapes,5835133.65
Yukon,2022-09-01,Other,67591.13
Rhode Island,2022-09-01,Pre-Rolls,31680.83
Texas,2022-09-01,Concentrates,41043.90
New York,2022-09-01,Edibles,2819215.47
Minnesota,2022-09-01,Other,409541.88
Ohio,2022-09-01,Concentrates,1987699.05
Northern Mariana Islands,2022-09-01,Flower,0.00
Maine,2022-09-01,Other,3120032.87
Saskatchewan,2022-09-01,Other,776037.41
Texas,2022-09-01,Edibles,113540.99
West Virginia,2022-09-01,Edibles,0.00
California,2022-09-01,Concentrates,25335155.55
Maryland,2022-09-01,Pre-Rolls,2592211.98
Michigan,2022-09-01,Flower,105053453.42
Rhode Island,2022-09-01,Flower,517860.79
Rhode Island,2022-09-01,Other,16441.57
District of Columbia,2022-09-01,Edibles,295105.59
New Jersey,2022-09-01,Pre-Rolls,2000656.20
West Virginia,2022-09-01,Other,146189.20
Arizona,2022-09-01,Edibles,8538792.20
District of Columbia,2022-09-01,Other,394789.17
Michigan,2022-09-01,Concentrates,12540054.52
Iowa,2022-09-01,Concentrates,57461.88
Utah,2022-09-01,Pre-Rolls,1226.50
Delaware,2022-09-01,Other,175637.03
Florida,2022-09-01,Other,5922300.74
Connecticut,2022-09-01,Vapes,2565386.31
Arkansas,2022-09-01,Edibles,3075489.41
Alaska,2022-09-01,Edibles,2479057.90
Connecticut,2022-09-01,Other,734792.08
Missouri,2022-09-01,Other,464900.41
Oregon,2022-09-01,Vapes,18699198.91
Illinois,2022-09-01,Other,3567421.22
Virginia,2022-09-01,Other,308266.75
Massachusetts,2022-09-01,Flower,56248674.45
Connecticut,2022-09-01,Concentrates,742126.27
Delaware,2022-09-01,Concentrates,184839.68
Florida,2022-09-01,Flower,61367099.14
Mississippi,2022-09-01,Vapes,0.00
Iowa,2022-09-01,Other,241670.61
Rhode Island,2022-09-01,Edibles,34359.80
Vermont,2022-09-01,Other,134310.17
Puerto Rico,2022-09-01,Vapes,1258654.47
New Mexico,2022-09-01,Flower,15430365.18
Nevada,2022-09-01,Vapes,13762628.92
Puerto Rico,2022-09-01,Edibles,1355865.10
New Jersey,2022-09-01,Vapes,11418508.04
Maryland,2022-09-01,Flower,18785210.48
District of Columbia,2022-09-01,Vapes,862226.39
Maine,2022-09-01,Flower,12295379.59
Montana,2022-09-01,Pre-Rolls,2034565.34
Maryland,2022-09-01,Other,907652.93
New Mexico,2022-09-01,Other,1637292.47
Arizona,2022-09-01,Flower,44515878.57
Texas,2022-09-01,Flower,140113.85
South Carolina,2022-09-01,Edibles,0.00
New York,2022-09-01,Flower,9045166.92
Minnesota,2022-09-01,Edibles,141329.00
New Brunswick,2022-09-01,Other,54329.23
Newfoundland and Labrador,2022-09-01,Flower,1076821.83
District of Columbia,2022-09-01,Pre-Rolls,335964.03
Alaska,2022-09-01,Concentrates,2149162.94
Utah,2022-09-01,Vapes,2360786.61
Alaska,2022-09-01,Vapes,3568937.00
Manitoba,2022-09-01,Pre-Rolls,1822065.77
Arkansas,2022-09-01,Flower,12784532.02
Montana,2022-09-01,Flower,12014206.18
Mississippi,2022-09-01,Flower,545953.95
Nova Scotia,2022-09-01,Flower,39643.83
Minnesota,2022-09-01,Flower,1665482.03
Manitoba,2022-09-01,Concentrates,319388.80
Manitoba,2022-09-01,Flower,4540596.58
Maine,2022-09-01,Pre-Rolls,3951767.33
Missouri,2022-09-01,Vapes,6461008.32
Manitoba,2022-09-01,Vapes,2401364.62
South Carolina,2022-09-01,Vapes,0.00
New Hampshire,2022-09-01,Other,134517.13
Nevada,2022-09-01,Other,1671364.07
South Dakota,2022-09-01,Edibles,201256.12
Northern Mariana Islands,2022-09-01,Edibles,0.00
New Hampshire,2022-09-01,Vapes,322425.61
Manitoba,2022-09-01,Edibles,666197.12
Newfoundland and Labrador,2022-09-01,Concentrates,1694979.68
Pennsylvania,2022-09-01,Flower,31739305.62
New Hampshire,2022-09-01,Pre-Rolls,179664.84
South Dakota,2022-09-01,Flower,580458.63
Louisiana,2022-09-01,Edibles,42308.58
Yukon,2022-09-01,Flower,469438.31
Arizona,2022-09-01,Concentrates,7632897.27
Michigan,2022-09-01,Vapes,45751824.39
Missouri,2022-09-01,Pre-Rolls,1860887.30
Iowa,2022-09-01,Edibles,12826.49
Florida,2022-09-01,Vapes,43247461.11
Vermont,2022-09-01,Vapes,277374.83
Alaska,2022-09-01,Flower,8142022.57
Virginia,2022-09-01,Vapes,1262104.75
Colorado,2022-09-01,Flower,110233842.57
Texas,2022-09-01,Pre-Rolls,62715.90
Nunavut,2022-09-01,Concentrates,24589.44
New York,2022-09-01,Pre-Rolls,6234.66
Hawaii,2022-09-01,Other,278530.20
Nunavut,2022-09-01,Flower,170401.39
Utah,2022-09-01,Concentrates,151520.38
Alberta,2022-09-01,Concentrates,2855654.69
Alberta,2022-09-01,Edibles,3943582.32
Saskatchewan,2022-09-01,Pre-Rolls,1017174.23
New Jersey,2022-09-01,Flower,16900959.43
Minnesota,2022-09-01,Vapes,450378.22
New Brunswick,2022-09-01,Pre-Rolls,584355.58
New Mexico,2022-09-01,Vapes,10301258.38
Oklahoma,2022-09-01,Pre-Rolls,15448950.85
Rhode Island,2022-09-01,Concentrates,150205.94
Maine,2022-09-01,Edibles,4004302.44
New Mexico,2022-09-01,Concentrates,1708064.84
Washington,2022-09-01,Pre-Rolls,14633678.99
New York,2022-09-01,Concentrates,147998.00
Massachusetts,2022-09-01,Edibles,19226646.66
Vermont,2022-09-01,Concentrates,52522.95
New Hampshire,2022-09-01,Concentrates,77062.89
South Dakota,2022-09-01,Other,278783.24
Hawaii,2022-09-01,Flower,1307328.37
Connecticut,2022-09-01,Edibles,584743.20
Ohio,2022-09-01,Edibles,5690576.72
Michigan,2022-09-01,Edibles,21429296.05
Montana,2022-09-01,Edibles,3397958.76
Nunavut,2022-09-01,Edibles,8765.94
New York,2022-09-01,Vapes,7890669.69
Massachusetts,2022-09-01,Pre-Rolls,31375051.61
Rhode Island,2022-09-01,Vapes,14074.34
Texas,2022-09-01,Vapes,267899.92
Virginia,2022-09-01,Pre-Rolls,135938.87
New Hampshire,2022-09-01,Flower,56125.91
Manitoba,2022-09-01,Other,936392.11
North Dakota,2022-09-01,Flower,669833.91
West Virginia,2022-09-01,Concentrates,240882.42
Maine,2022-09-01,Concentrates,1385017.50
Nevada,2022-09-01,Concentrates,2918996.51
Alberta,2022-09-01,Flower,23052785.02
Missouri,2022-09-01,Flower,18369198.74
Washington,2022-09-01,Vapes,20632970.83
Nevada,2022-09-01,Edibles,6616622.87
Ohio,2022-09-01,Flower,19855719.98
Ontario,2022-09-01,Concentrates,7913849.66
Nevada,2022-09-01,Flower,29326808.83
Ohio,2022-09-01,Other,1503066.84
New Brunswick,2022-09-01,Edibles,245540.08
Louisiana,2022-09-01,Vapes,27489.97
Texas,2022-09-01,Other,272143.78
Yukon,2022-09-01,Concentrates,74181.71
Puerto Rico,2022-09-01,Other,384895.12
Maryland,2022-09-01,Vapes,10298927.77
Arizona,2022-09-01,Other,2041443.24
Alaska,2022-09-01,Other,1645809.83
British Columbia,2022-09-01,Other,4132585.94
Oklahoma,2022-09-01,Vapes,27320678.18
Montana,2022-09-01,Vapes,5263444.99
North Dakota,2022-09-01,Pre-Rolls,7870.33
South Dakota,2022-09-01,Concentrates,27605.58
Hawaii,2022-09-01,Concentrates,547078.13
Newfoundland and Labrador,2022-09-01,Pre-Rolls,1516844.79
Utah,2022-09-01,Edibles,724216.53
Washington,2022-09-01,Edibles,11522664.60
Oregon,2022-09-01,Concentrates,9492128.86
Arizona,2022-09-01,Vapes,23593570.23
Oklahoma,2022-09-01,Other,13409954.60
Oklahoma,2022-09-01,Concentrates,10023727.07
North Dakota,2022-09-01,Edibles,0.00
New York,2022-09-01,Other,1298845.98
Massachusetts,2022-09-01,Concentrates,5764623.13
South Dakota,2022-09-01,Vapes,418219.70
Virginia,2022-09-01,Edibles,420176.30
Alaska,2022-09-01,Pre-Rolls,3432080.20
Colorado,2022-09-01,Other,12372738.82
Hawaii,2022-09-01,Vapes,898764.18
British Columbia,2022-09-01,Edibles,4194081.67
Washington,2022-09-01,Flower,30050938.73
Mississippi,2022-09-01,Edibles,0.00
Massachusetts,2022-09-01,Vapes,33237703.61
Florida,2022-09-01,Edibles,17866510.09
Nova Scotia,2022-09-01,Concentrates,934204.00
Connecticut,2022-09-01,Pre-Rolls,800036.02
District of Columbia,2022-09-01,Concentrates,87998.22
Delaware,2022-09-01,Pre-Rolls,138975.70
Oregon,2022-09-01,Edibles,11369298.06
Puerto Rico,2022-09-01,Concentrates,471631.47
Utah,2022-09-01,Other,424503.12
New Mexico,2022-09-01,Pre-Rolls,3892473.44
District of Columbia,2022-09-01,Flower,2553323.58
Arizona,2022-09-01,Pre-Rolls,15570024.16
Pennsylvania,2022-09-01,Vapes,23028601.15
North Dakota,2022-09-01,Concentrates,108994.68
West Virginia,2022-09-01,Flower,2097045.88
Delaware,2022-09-01,Flower,959130.98
Northern Mariana Islands,2022-09-01,Other,0.00
Vermont,2022-09-01,Flower,366309.60
Arkansas,2022-09-01,Vapes,5310775.03
North Dakota,2022-09-01,Other,118048.13
British Columbia,2022-09-01,Pre-Rolls,13855943.65
Ontario,2022-09-01,Edibles,12627994.73
Washington,2022-09-01,Concentrates,9351962.92
South Carolina,2022-09-01,Pre-Rolls,0.00
Louisiana,2022-09-01,Pre-Rolls,39379.04
Puerto Rico,2022-09-01,Pre-Rolls,1285.71
Newfoundland and Labrador,2022-09-01,Other,402895.88
California,2022-09-01,Vapes,102002874.12
Mississippi,2022-09-01,Other,1586.58
Illinois,2022-09-01,Vapes,36316875.69
Florida,2022-09-01,Concentrates,16914874.64
Pennsylvania,2022-09-01,Concentrates,6823868.85
Florida,2022-09-01,Pre-Rolls,6297751.41
Nunavut,2022-09-01,Pre-Rolls,75635.48
Nunavut,2022-09-01,Vapes,83679.15
Hawaii,2022-09-01,Edibles,302024.42
Saskatchewan,2022-09-01,Edibles,353276.12
Ontario,2022-09-01,Pre-Rolls,45863704.40
Oregon,2022-09-01,Pre-Rolls,10342989.90
California,2022-09-01,Edibles,39195485.13
Colorado,2022-09-01,Edibles,4523286.09
South Carolina,2022-09-01,Flower,0.00
Nova Scotia,2022-09-01,Other,42153.18
Newfoundland and Labrador,2022-09-01,Vapes,353.79
Illinois,2022-09-01,Pre-Rolls,10271538.61
California,2022-09-01,Other,10520349.42
Missouri,2022-09-01,Edibles,4602598.61
Saskatchewan,2022-09-01,Vapes,2277415.54
Yukon,2022-09-01,Pre-Rolls,292273.77
Delaware,2022-09-01,Edibles,137761.22
New Brunswick,2022-09-01,Flower,1342529.35
Pennsylvania,2022-09-01,Edibles,51029.55
Mississippi,2022-09-01,Concentrates,0.00
Connecticut,2022-10-01,Vapes,5168257.69
Arkansas,2022-10-01,Edibles,2924854.72
Maine,2022-10-01,Edibles,3636062.04
Alberta,2022-10-01,Other,4768270.45
Missouri,2022-10-01,Concentrates,2683915.18
Ontario,2022-10-01,Other,11619914.26
Colorado,2022-10-01,Vapes,5879402.51
Ontario,2022-10-01,Edibles,11915001.01
California,2022-10-01,Edibles,39885972.30
Virginia,2022-10-01,Pre-Rolls,204793.05
Northern Mariana Islands,2022-10-01,Edibles,0.00
Nunavut,2022-10-01,Flower,197568.56
Iowa,2022-10-01,Edibles,12822.09
North Dakota,2022-10-01,Concentrates,107670.61
South Dakota,2022-10-01,Flower,925754.93
Texas,2022-10-01,Vapes,269304.75
Arizona,2022-10-01,Edibles,8684334.98
Newfoundland and Labrador,2022-10-01,Vapes,40889.55
Delaware,2022-10-01,Pre-Rolls,188754.36
Nova Scotia,2022-10-01,Flower,39693.52
New York,2022-10-01,Pre-Rolls,806672.33
Ohio,2022-10-01,Other,1819927.45
Pennsylvania,2022-10-01,Flower,41911715.85
Connecticut,2022-10-01,Flower,8448879.98
Nevada,2022-10-01,Vapes,15576608.87
District of Columbia,2022-10-01,Concentrates,97165.02
Ohio,2022-10-01,Concentrates,2004561.50
Ohio,2022-10-01,Pre-Rolls,46174.55
Alaska,2022-10-01,Other,1309151.13
California,2022-10-01,Concentrates,26488168.33
Pennsylvania,2022-10-01,Concentrates,8436379.54
Louisiana,2022-10-01,Other,134666.96
Manitoba,2022-10-01,Concentrates,268675.14
Washington,2022-10-01,Concentrates,8846190.14
Michigan,2022-10-01,Vapes,46029220.46
Arizona,2022-10-01,Concentrates,6193204.20
New Jersey,2022-10-01,Edibles,6154204.88
Alaska,2022-10-01,Flower,7488850.91
Puerto Rico,2022-10-01,Other,333447.94
Utah,2022-10-01,Edibles,938609.25
Northern Mariana Islands,2022-10-01,Flower,0.00
Maine,2022-10-01,Vapes,3076738.32
New Hampshire,2022-10-01,Pre-Rolls,168370.14
New Brunswick,2022-10-01,Other,55551.78
Minnesota,2022-10-01,Other,408993.85
Rhode Island,2022-10-01,Flower,1507568.83
Florida,2022-10-01,Pre-Rolls,6513850.41
Oklahoma,2022-10-01,Concentrates,10480077.49
Mississippi,2022-10-01,Other,33196.76
Ohio,2022-10-01,Edibles,5932383.19
North Dakota,2022-10-01,Edibles,0.00
District of Columbia,2022-10-01,Vapes,704483.35
Alaska,2022-10-01,Pre-Rolls,3004155.36
Arizona,2022-10-01,Pre-Rolls,16746834.67
Newfoundland and Labrador,2022-10-01,Concentrates,295862.22
Connecticut,2022-10-01,Other,1440431.78
Montana,2022-10-01,Flower,11781486.50
Colorado,2022-10-01,Concentrates,18109331.17
Mississippi,2022-10-01,Pre-Rolls,9163.92
Colorado,2022-10-01,Pre-Rolls,2214519.39
California,2022-10-01,Pre-Rolls,54938873.75
Rhode Island,2022-10-01,Other,330070.30
Connecticut,2022-10-01,Concentrates,1380602.57
Louisiana,2022-10-01,Vapes,291069.63
Nova Scotia,2022-10-01,Pre-Rolls,16455.45
South Dakota,2022-10-01,Vapes,597635.45
Puerto Rico,2022-10-01,Edibles,1028149.40
New Brunswick,2022-10-01,Concentrates,0.00
New York,2022-10-01,Concentrates,104974.19
Iowa,2022-10-01,Concentrates,57937.43
Texas,2022-10-01,Concentrates,41258.84
Oregon,2022-10-01,Pre-Rolls,9884717.07
Texas,2022-10-01,Other,220007.81
Nevada,2022-10-01,Edibles,7696361.92
Arizona,2022-10-01,Vapes,23261238.88
Arkansas,2022-10-01,Other,513792.50
Newfoundland and Labrador,2022-10-01,Edibles,240712.63
Nevada,2022-10-01,Other,2009153.00
Saskatchewan,2022-10-01,Concentrates,222541.85
New Jersey,2022-10-01,Pre-Rolls,2292794.92
South Carolina,2022-10-01,Pre-Rolls,0.00
Michigan,2022-10-01,Edibles,22524524.37
District of Columbia,2022-10-01,Flower,2154142.50
Iowa,2022-10-01,Vapes,205050.20
Nunavut,2022-10-01,Other,29760.54
Minnesota,2022-10-01,Pre-Rolls,347719.53
Pennsylvania,2022-10-01,Other,6139700.62
Delaware,2022-10-01,Vapes,867310.42
South Dakota,2022-10-01,Concentrates,52664.39
Maine,2022-10-01,Concentrates,1314298.87
Hawaii,2022-10-01,Other,294624.00
Michigan,2022-10-01,Other,2742050.23
West Virginia,2022-10-01,Other,171213.51
New Mexico,2022-10-01,Other,1475431.04
New Mexico,2022-10-01,Flower,15312829.77
Florida,2022-10-01,Concentrates,17162727.89
Massachusetts,2022-10-01,Flower,56749499.17
Nova Scotia,2022-10-01,Edibles,602391.95
Montana,2022-10-01,Other,2057181.62
California,2022-10-01,Vapes,105011414.60
Rhode Island,2022-10-01,Concentrates,357008.70
Ontario,2022-10-01,Vapes,25538157.83
Maryland,2022-10-01,Pre-Rolls,2607036.68
Yukon,2022-10-01,Flower,256899.07
New Hampshire,2022-10-01,Flower,12439.33
Rhode Island,2022-10-01,Vapes,230134.90
Hawaii,2022-10-01,Edibles,300067.52
Montana,2022-10-01,Concentrates,2663177.00
Louisiana,2022-10-01,Flower,862379.80
Arkansas,2022-10-01,Pre-Rolls,
Michigan,2022-10-01,Pre-Rolls,23714856.24
Arizona,2022-10-01,Flower,46509657.65
Newfoundland and Labrador,2022-10-01,Other,228476.23
Massachusetts,2022-10-01,Edibles,20660944.19
Alberta,2022-10-01,Vapes,10981377.56
Illinois,2022-10-01,Flower,51187987.17
Newfoundland and Labrador,2022-10-01,Flower,1036836.56
Connecticut,2022-10-01,Edibles,1216708.42
Yukon,2022-10-01,Edibles,13915.30
British Columbia,2022-10-01,Flower,16841376.05
Texas,2022-10-01,Edibles,79266.66
Ohio,2022-10-01,Flower,19426864.08
Mississippi,2022-10-01,Flower,608623.52
Massachusetts,2022-10-01,Vapes,33920049.71
Alberta,2022-10-01,Concentrates,2346226.25
Saskatchewan,2022-10-01,Flower,3072445.40
Missouri,2022-10-01,Edibles,4929896.98
Washington,2022-10-01,Vapes,18934443.35
British Columbia,2022-10-01,Edibles,3795117.73
Washington,2022-10-01,Pre-Rolls,13666738.82
Virginia,2022-10-01,Vapes,2382105.03
British Columbia,2022-10-01,Other,3002693.55
New Jersey,2022-10-01,Vapes,12175989.61
Manitoba,2022-10-01,Pre-Rolls,1556620.39
New Jersey,2022-10-01,Other,671898.85
Vermont,2022-10-01,Concentrates,58058.07
Vermont,2022-10-01,Vapes,965164.56
Pennsylvania,2022-10-01,Pre-Rolls,0.00
Colorado,2022-10-01,Other,11601529.98
Oregon,2022-10-01,Vapes,18213079.56
Mississippi,2022-10-01,Vapes,0.00
New Mexico,2022-10-01,Vapes,10573427.10
New York,2022-10-01,Vapes,8670208.20
Connecticut,2022-10-01,Pre-Rolls,1643369.86
Utah,2022-10-01,Concentrates,164452.83
Montana,2022-10-01,Vapes,4954681.99
Arkansas,2022-10-01,Concentrates,2097998.82
Alaska,2022-10-01,Concentrates,1857151.45
Texas,2022-10-01,Pre-Rolls,63044.78
South Carolina,2022-10-01,Edibles,0.00
Hawaii,2022-10-01,Concentrates,479034.55
Nunavut,2022-10-01,Vapes,61805.31
North Dakota,2022-10-01,Vapes,354352.42
Delaware,2022-10-01,Concentrates,232404.60
Yukon,2022-10-01,Other,45291.35
New Brunswick,2022-10-01,Vapes,482224.04
Virginia,2022-10-01,Edibles,566965.01
Saskatchewan,2022-10-01,Other,717860.68
Puerto Rico,2022-10-01,Pre-Rolls,1299.22
Florida,2022-10-01,Vapes,43023388.59
Illinois,2022-10-01,Pre-Rolls,9955319.53
Maryland,2022-10-01,Vapes,9265647.26
New Brunswick,2022-10-01,Edibles,251070.35
Oregon,2022-10-01,Edibles,10829488.20
North Dakota,2022-10-01,Other,132175.59
Alberta,2022-10-01,Pre-Rolls,12600540.44
Ontario,2022-10-01,Concentrates,7428668.19
Arkansas,2022-10-01,Vapes,5212505.24
New Jersey,2022-10-01,Flower,17787757.93
Minnesota,2022-10-01,Flower,1441761.76
Missouri,2022-10-01,Vapes,6730272.79
Illinois,2022-10-01,Vapes,37309778.74
Massachusetts,2022-10-01,Pre-Rolls,28393802.35
New Mexico,2022-10-01,Concentrates,1536223.79
Nunavut,2022-10-01,Concentrates,39317.10
Nunavut,2022-10-01,Edibles,7867.25
California,2022-10-01,Flower,134782638.90
Washington,2022-10-01,Edibles,10635779.11
Maine,2022-10-01,Flower,11218461.67
Oregon,2022-10-01,Concentrates,8876163.64
Vermont,2022-10-01,Flower,1349900.81
Utah,2022-10-01,Other,719840.90
New Brunswick,2022-10-01,Pre-Rolls,597516.32
Louisiana,2022-10-01,Edibles,189228.17
District of Columbia,2022-10-01,Pre-Rolls,253035.90
Washington,2022-10-01,Other,4129818.30
Ontario,2022-10-01,Pre-Rolls,43128307.72
Oklahoma,2022-10-01,Edibles,28023019.54
Utah,2022-10-01,Flower,2495011.77
New Hampshire,2022-10-01,Other,130295.45
Missouri,2022-10-01,Other,526709.91
New Brunswick,2022-10-01,Flower,1372767.50
Rhode Island,2022-10-01,Pre-Rolls,70705.45
South Carolina,2022-10-01,Flower,0.00
New York,2022-10-01,Flower,9041851.07
Mississippi,2022-10-01,Concentrates,0.00
Manitoba,2022-10-01,Flower,3102649.05
Colorado,2022-10-01,Edibles,4458934.38
Iowa,2022-10-01,Other,237983.19
Arkansas,2022-10-01,Flower,12747318.08
Oklahoma,2022-10-01,Other,13368485.17
Colorado,2022-10-01,Flower,106158851.46
South Carolina,2022-10-01,Vapes,0.00
Nova Scotia,2022-10-01,Concentrates,935380.95
Yukon,2022-10-01,Concentrates,41197.51
South Dakota,2022-10-01,Edibles,248819.24
New Hampshire,2022-10-01,Edibles,238243.27
Nevada,2022-10-01,Pre-Rolls,7602392.98
Puerto Rico,2022-10-01,Vapes,1254606.06
West Virginia,2022-10-01,Concentrates,283828.61
Arizona,2022-10-01,Other,1884734.79
Pennsylvania,2022-10-01,Vapes,29092469.96
North Dakota,2022-10-01,Pre-Rolls,4208.74
Oklahoma,2022-10-01,Flower,61385207.55
Florida,2022-10-01,Flower,62429246.80
Ontario,2022-10-01,Flower,69775795.48
New Hampshire,2022-10-01,Concentrates,69134.82
West Virginia,2022-10-01,Flower,2943210.80
Oregon,2022-10-01,Flower,25579807.18
Montana,2022-10-01,Pre-Rolls,2018687.40
Maine,2022-10-01,Pre-Rolls,2821575.82
New Hampshire,2022-10-01,Vapes,324985.50
Nova Scotia,2022-10-01,Vapes,41407.28
Nunavut,2022-10-01,Pre-Rolls,104421.79
Northern Mariana Islands,2022-10-01,Other,0.00
District of Columbia,2022-10-01,Edibles,343640.96
British Columbia,2022-10-01,Vapes,8640789.98
Virginia,2022-10-01,Concentrates,362223.07
Maine,2022-10-01,Other,2038871.10
Alberta,2022-10-01,Flower,17573292.92
Saskatchewan,2022-10-01,Edibles,329568.57
South Dakota,2022-10-01,Pre-Rolls,321771.15
New York,2022-10-01,Other,1728917.53
Louisiana,2022-10-01,Pre-Rolls,171231.62
Louisiana,2022-10-01,Concentrates,58931.26
Illinois,2022-10-01,Other,3343861.03
Minnesota,2022-10-01,Vapes,411489.17
North Dakota,2022-10-01,Flower,720115.03
Florida,2022-10-01,Other,5947037.65
Maryland,2022-10-01,Concentrates,2649302.79
Hawaii,2022-10-01,Flower,1040417.54
Delaware,2022-10-01,Edibles,210160.27
Michigan,2022-10-01,Concentrates,12752214.80
Oklahoma,2022-10-01,Pre-Rolls,15955062.19
Vermont,2022-10-01,Edibles,463591.99
Michigan,2022-10-01,Flower,103231301.48
Missouri,2022-10-01,Pre-Rolls,1907207.43
Minnesota,2022-10-01,Edibles,146603.90
Maryland,2022-10-01,Other,1027298.30
New Mexico,2022-10-01,Pre-Rolls,4052540.16
New York,2022-10-01,Edibles,3131695.04
Nova Scotia,2022-10-01,Other,42206.13
Massachusetts,2022-10-01,Other,5284594.94
Illinois,2022-10-01,Concentrates,7459997.81
Utah,2022-10-01,Pre-Rolls,958.42
South Dakota,2022-10-01,Other,285881.91
Vermont,2022-10-01,Pre-Rolls,208451.19
Minnesota,2022-10-01,Concentrates,0.00
Alaska,2022-10-01,Edibles,2104390.69
Hawaii,2022-10-01,Vapes,790370.60
Illinois,2022-10-01,Edibles,19936394.16
Yukon,2022-10-01,Vapes,89229.89
Yukon,2022-10-01,Pre-Rolls,136100.69
Vermont,2022-10-01,Other,577619.18
Rhode Island,2022-10-01,Edibles,83903.65
Manitoba,2022-10-01,Other,735504.57
Oregon,2022-10-01,Other,3671691.43
British Columbia,2022-10-01,Pre-Rolls,13250008.31
Nevada,2022-10-01,Concentrates,3351120.48
Maryland,2022-10-01,Edibles,5077114.18
Pennsylvania,2022-10-01,Edibles,41651.60
Puerto Rico,2022-10-01,Concentrates,466237.82
Ohio,2022-10-01,Vapes,10664420.95
California,2022-10-01,Other,10535682.77
West Virginia,2022-10-01,Vapes,1089253.28
British Columbia,2022-10-01,Concentrates,2312589.74
Saskatchewan,2022-10-01,Pre-Rolls,1024274.67
Maryland,2022-10-01,Flower,19427330.13
District of Columbia,2022-10-01,Other,298564.64
New Jersey,2022-10-01,Concentrates,1015370.85
Newfoundland and Labrador,2022-10-01,Pre-Rolls,626025.34
Saskatchewan,2022-10-01,Vapes,1847571.46
New Mexico,2022-10-01,Edibles,6126202.64
Missouri,2022-10-01,Flower,18901209.72
Alberta,2022-10-01,Edibles,3188680.70
South Carolina,2022-10-01,Other,0.00
Delaware,2022-10-01,Other,237634.97
Puerto Rico,2022-10-01,Flower,8923213.33
Utah,2022-10-01,Vapes,2997247.15
Manitoba,2022-10-01,Edibles,545295.39
