STATE,SALES_MONTH,STATE_PRICE
Puerto Rico,2024-09-01,4.08231654
Puerto Rico,2024-10-01,4.10164124
Alberta,2025-10-01,4.10712271
Manitoba,2026-01-01,4.15048126
New Hampshire,2024-10-01,4.21417647
Washington,2026-03-01,4.26628093
Washington,2026-02-01,4.27930904
New York,2023-01-01,4.31058448
Nova Scotia,2025-08-01,4.32356164
Washington,2026-01-01,4.32390160
Washington,2025-09-01,4.32844442
Washington,2025-11-01,4.33481736
Washington,2025-07-01,4.35379062
Washington,2025-12-01,4.35452247
Washington,2025-10-01,4.35646616
Washington,2025-08-01,4.36319761
Manitoba,2025-09-01,4.37624704
Washington,2025-06-01,4.39629445
Manitoba,2025-12-01,4.40197887
Alberta,2025-05-01,4.42090357
Puerto Rico,2024-06-01,4.43474027
Washington,2025-05-01,4.45846989
Puerto Rico,2024-05-01,4.46768632
New York,2023-04-01,4.48375031
Washington,2025-04-01,4.49408672
Manitoba,2026-03-01,4.52024245
Puerto Rico,2024-08-01,4.52160061
Manitoba,2025-11-01,4.54524805
Washington,2025-03-01,4.55468502
Manitoba,2025-08-01,4.57390093
Washington,2024-12-01,4.58571863
Washington,2025-02-01,4.58577818
Manitoba,2025-06-01,4.58855551
Washington,2024-04-01,4.63023026
Puerto Rico,2024-02-01,4.63685185
Puerto Rico,2024-04-01,4.64266157
Washington,2025-01-01,4.64678350
Washington,2024-11-01,4.65083473
Puerto Rico,2024-07-01,4.65224972
Manitoba,2025-07-01,4.65257143
Washington,2024-05-01,4.65471063
Washington,2024-06-01,4.65515804
Washington,2023-05-01,4.66741552
Puerto Rico,2024-03-01,4.69762551
Washington,2024-09-01,4.70478635
Washington,2024-10-01,4.71196951
Washington,2024-08-01,4.76493178
Washington,2024-07-01,4.76871273
Texas,2025-06-01,4.78015625
Manitoba,2025-10-01,4.78912221
Washington,2024-03-01,4.79662328
Washington,2023-04-01,4.80983792
Washington,2023-06-01,4.83110682
New York,2023-10-01,4.83326568
Washington,2022-12-01,4.83636136
Washington,2023-02-01,4.85153382
Puerto Rico,2024-01-01,4.85247815
Manitoba,2025-05-01,4.85377648
New York,2023-05-01,4.85920468
New York,2023-09-01,4.86358347
Texas,2025-08-01,4.87583333
New York,2023-06-01,4.88443556
New York,2023-07-01,4.89555713
Washington,2022-11-01,4.90208436
New York,2023-08-01,4.91132839
Washington,2023-01-01,4.92358285
Washington,2022-10-01,4.92539880
Washington,2023-03-01,4.97519960
Washington,2023-08-01,4.98441520
Washington,2022-09-01,4.98555548
Washington,2024-01-01,4.98987744
New Hampshire,2025-12-01,4.99521739
Puerto Rico,2023-11-01,5.00460935
Washington,2023-09-01,5.00692224
Washington,2023-07-01,5.01193401
Louisiana,2024-12-01,5.01936102
Washington,2023-11-01,5.02910600
Florida,2025-11-01,5.03510964
Puerto Rico,2023-12-01,5.04726634
Texas,2025-04-01,5.05301587
Washington,2023-12-01,5.11735550
Florida,2022-12-01,5.16177682
Washington,2023-10-01,5.18501510
Florida,2025-12-01,5.20484856
Washington,2024-02-01,5.24570122
Oklahoma,2024-11-01,5.28548042
Florida,2026-01-01,5.29319992
Oklahoma,2024-10-01,5.29785482
Florida,2025-09-01,5.30261225
Florida,2023-03-01,5.30360789
West Virginia,2022-09-01,5.32652126
Oklahoma,2024-09-01,5.33923552
Oklahoma,2026-02-01,5.34127279
Oklahoma,2026-03-01,5.36196471
Florida,2022-09-01,5.40091990
Florida,2025-10-01,5.40776606
