STATE,SALES_MONTH,COUNT(DISTINCT( MASTER_ID))
Newfoundland and Labrador,2022-12-01,43
New York,2022-12-01,85
New Brunswick,2022-12-01,33
Nunavut,2022-12-01,2
Oregon,2022-12-01,747
Massachusetts,2022-12-01,332
Washington,2022-12-01,468
Puerto Rico,2022-12-01,264
Vermont,2022-12-01,43
Hawaii,2022-12-01,21
Nova Scotia,2022-12-01,12
Virginia,2022-12-01,18
Oklahoma,2022-12-01,1850
Yukon,2022-12-01,6
South Dakota,2022-12-01,40
Mississippi,2022-12-01,30
New Hampshire,2022-12-01,7
Illinois,2022-12-01,116
Florida,2022-12-01,574
Colorado,2022-12-01,741
New Mexico,2022-12-01,430
Ontario,2022-12-01,1613
Colorado,2023-01-01,745
South Dakota,2023-01-01,44
Montana,2023-01-01,374
New Brunswick,2023-01-01,33
Michigan,2023-01-01,691
Ohio,2023-01-01,79
Pennsylvania,2023-01-01,175
Yukon,2023-01-01,6
Northern Mariana Islands,2023-01-01,1
Manitoba,2023-01-01,99
Maryland,2023-01-01,98
New Mexico,2023-01-01,454
Iowa,2023-01-01,5
Minnesota,2023-01-01,12
Connecticut,2023-01-01,25
Arkansas,2023-01-01,40
Puerto Rico,2023-01-01,264
Alaska,2023-01-01,166
Nova Scotia,2023-01-01,12
Massachusetts,2023-01-01,334
North Dakota,2023-01-01,8
Arizona,2023-01-01,161
Oklahoma,2023-01-01,1784
Maine,2023-01-01,277
Washington,2023-01-01,470
Virginia,2023-01-01,19
Newfoundland and Labrador,2023-01-01,43
West Virginia,2023-01-01,51
New York,2023-01-01,89
District of Columbia,2023-01-01,21
Illinois,2023-01-01,122
Nunavut,2023-01-01,2
Alberta,2023-01-01,719
Florida,2023-01-01,576
California,2023-01-01,1614
South Carolina,2023-01-01,1
Hawaii,2023-01-01,21
British Columbia,2023-01-01,428
Mississippi,2023-01-01,41
Ontario,2023-01-01,1625
Louisiana,2023-01-01,10
New Hampshire,2023-01-01,7
Missouri,2023-01-01,199
Texas,2023-01-01,8
Nevada,2023-01-01,110
Oregon,2023-01-01,747
Utah,2023-01-01,18
New Jersey,2023-01-01,47
Saskatchewan,2023-01-01,105
Vermont,2023-01-01,48
Rhode Island,2023-01-01,7
Delaware,2023-01-01,11
Illinois,2023-02-01,127
South Carolina,2023-02-01,1
Louisiana,2023-02-01,11
Ontario,2023-02-01,1641
British Columbia,2023-02-01,430
Ohio,2023-02-01,83
Nova Scotia,2023-02-01,12
Colorado,2023-02-01,745
California,2023-02-01,1617
New Mexico,2023-02-01,471
Nunavut,2023-02-01,2
Alberta,2023-02-01,720
Nevada,2023-02-01,110
Hawaii,2023-02-01,21
New Hampshire,2023-02-01,7
North Dakota,2023-02-01,8
Massachusetts,2023-02-01,337
Utah,2023-02-01,18
Oklahoma,2023-02-01,1705
Northern Mariana Islands,2023-02-01,1
Manitoba,2023-02-01,100
Maine,2023-02-01,249
Vermont,2023-02-01,50
Minnesota,2023-02-01,12
Michigan,2023-02-01,699
Pennsylvania,2023-02-01,176
Delaware,2023-02-01,11
Virginia,2023-02-01,19
Rhode Island,2023-02-01,7
Iowa,2023-02-01,5
Florida,2023-02-01,585
District of Columbia,2023-02-01,20
Yukon,2023-02-01,6
Maryland,2023-02-01,98
New York,2023-02-01,94
Washington,2023-02-01,472
Texas,2023-02-01,8
New Jersey,2023-02-01,48
South Dakota,2023-02-01,45
Saskatchewan,2023-02-01,105
Alaska,2023-02-01,168
Newfoundland and Labrador,2023-02-01,42
Oregon,2023-02-01,748
New Brunswick,2023-02-01,33
Arizona,2023-02-01,162
Arkansas,2023-02-01,40
Mississippi,2023-02-01,59
Montana,2023-02-01,383
Connecticut,2023-02-01,25
Missouri,2023-02-01,199
Puerto Rico,2023-02-01,268
West Virginia,2023-02-01,51
Ontario,2023-03-01,1656
Northern Mariana Islands,2023-03-01,1
Alberta,2023-03-01,757
Maryland,2023-03-01,98
District of Columbia,2023-03-01,20
Newfoundland and Labrador,2023-03-01,42
Massachusetts,2023-03-01,339
Vermont,2023-03-01,55
Pennsylvania,2023-03-01,180
Rhode Island,2023-03-01,7
Yukon,2023-03-01,6
Puerto Rico,2023-03-01,266
Missouri,2023-03-01,197
Maine,2023-03-01,248
Louisiana,2023-03-01,11
West Virginia,2023-03-01,53
Montana,2023-03-01,386
British Columbia,2023-03-01,433
Nevada,2023-03-01,111
New Hampshire,2023-03-01,7
Hawaii,2023-03-01,22
South Dakota,2023-03-01,46
Mississippi,2023-03-01,78
Florida,2023-03-01,600
Texas,2023-03-01,9
Oklahoma,2023-03-01,1648
Arkansas,2023-03-01,40
Utah,2023-03-01,18
Virginia,2023-03-01,20
Connecticut,2023-03-01,25
Nunavut,2023-03-01,2
Washington,2023-03-01,472
Arizona,2023-03-01,161
New Mexico,2023-03-01,489
North Dakota,2023-03-01,8
Saskatchewan,2023-03-01,105
Ohio,2023-03-01,90
Illinois,2023-03-01,128
Minnesota,2023-03-01,13
Colorado,2023-03-01,746
Iowa,2023-03-01,5
Delaware,2023-03-01,11
Oregon,2023-03-01,752
Michigan,2023-03-01,705
Manitoba,2023-03-01,101
South Carolina,2023-03-01,1
Alaska,2023-03-01,168
New Brunswick,2023-03-01,33
New Jersey,2023-03-01,51
New York,2023-03-01,97
California,2023-03-01,1625
Nova Scotia,2023-03-01,12
Rhode Island,2023-04-01,7
Oklahoma,2023-04-01,1614
Nevada,2023-04-01,111
New Jersey,2023-04-01,57
Texas,2023-04-01,9
New Brunswick,2023-04-01,33
Utah,2023-04-01,18
Missouri,2023-04-01,198
Arkansas,2023-04-01,40
Nunavut,2023-04-01,2
Northern Mariana Islands,2023-04-01,1
Ohio,2023-04-01,93
Louisiana,2023-04-01,11
Virginia,2023-04-01,20
Alaska,2023-04-01,162
Arizona,2023-04-01,164
Connecticut,2023-04-01,25
Nova Scotia,2023-04-01,12
Delaware,2023-04-01,11
Florida,2023-04-01,601
Illinois,2023-04-01,130
Colorado,2023-04-01,740
North Dakota,2023-04-01,8
Maryland,2023-04-01,99
Vermont,2023-04-01,59
Manitoba,2023-04-01,101
New York,2023-04-01,102
South Carolina,2023-04-01,1
Oregon,2023-04-01,750
Pennsylvania,2023-04-01,181
Newfoundland and Labrador,2023-04-01,41
Mississippi,2023-04-01,95
Maine,2023-04-01,246
Montana,2023-04-01,390
New Mexico,2023-04-01,504
District of Columbia,2023-04-01,20
Iowa,2023-04-01,5
Massachusetts,2023-04-01,339
Michigan,2023-04-01,717
South Dakota,2023-04-01,46
Ontario,2023-04-01,1651
Alberta,2023-04-01,739
Yukon,2023-04-01,6
California,2023-04-01,1640
British Columbia,2023-04-01,431
Puerto Rico,2023-04-01,266
West Virginia,2023-04-01,56
Hawaii,2023-04-01,22
Washington,2023-04-01,474
New Hampshire,2023-04-01,7
Minnesota,2023-04-01,13
Saskatchewan,2023-04-01,106
Colorado,2023-05-01,742
Iowa,2023-05-01,5
New Jersey,2023-05-01,60
New York,2023-05-01,104
Michigan,2023-05-01,718
Rhode Island,2023-05-01,7
Saskatchewan,2023-05-01,106
Alaska,2023-05-01,164
Nova Scotia,2023-05-01,12
Maine,2023-05-01,243
Washington,2023-05-01,473
Yukon,2023-05-01,6
District of Columbia,2023-05-01,20
Northern Mariana Islands,2023-05-01,1
South Carolina,2023-05-01,1
Ohio,2023-05-01,95
Florida,2023-05-01,605
Connecticut,2023-05-01,25
Alberta,2023-05-01,741
Minnesota,2023-05-01,13
Oregon,2023-05-01,750
Mississippi,2023-05-01,95
Nevada,2023-05-01,111
Illinois,2023-05-01,134
Utah,2023-05-01,18
Maryland,2023-05-01,99
New Mexico,2023-05-01,512
Nunavut,2023-05-01,2
Missouri,2023-05-01,197
Manitoba,2023-05-01,101
Delaware,2023-05-01,11
Vermont,2023-05-01,59
West Virginia,2023-05-01,57
South Dakota,2023-05-01,47
Massachusetts,2023-05-01,340
Arkansas,2023-05-01,40
Montana,2023-05-01,357
North Dakota,2023-05-01,8
British Columbia,2023-05-01,430
Georgia,2023-05-01,2
Virginia,2023-05-01,20
Oklahoma,2023-05-01,1612
California,2023-05-01,1652
Louisiana,2023-05-01,11
Hawaii,2023-05-01,21
Newfoundland and Labrador,2023-05-01,41
Ontario,2023-05-01,1653
New Brunswick,2023-05-01,33
Pennsylvania,2023-05-01,183
New Hampshire,2023-05-01,7
Puerto Rico,2023-05-01,269
Arizona,2023-05-01,165
Texas,2023-05-01,9
South Carolina,2023-06-01,1
North Dakota,2023-06-01,8
New Mexico,2023-06-01,521
Georgia,2023-06-01,2
Rhode Island,2023-06-01,7
Colorado,2023-06-01,744
New York,2023-06-01,106
Ontario,2023-06-01,1658
Oklahoma,2023-06-01,1603
