Segment Code,Marijuana should be legalized- Agree (A) Users/100 HHs,Marijuana should be legalized- Disagree (A) Users/100 HHs,NonRX/health/beauty items:Stores bought past 30 days Any marijuana dispnsary (A) Users/100 HHs,Prescription drugs (RX):Stores bought past 30 days Any marijuana dispensary (A) Users/100 HHs,RX/nonRX/health/beauty items:Stores bought pst 30 days Any marijuana dspnsry (A) Users/100 HHs,Tobacco/other related products used past 30 days Marijuana/cannabis (A) Users/100 HHs
1.0,117.96643632773939,75.91312931885489,2.857142857142857,2.7532467532467533,5.454545454545454,13.974025974025974
2.0,151.4344262295082,76.53688524590164,9.120345385860766,1.888828926065839,11.009174311926605,31.462493254182405
3.0,149.09616775126537,97.0354302241504,6.00988969189806,2.928870292887029,8.748573602130087,20.273868391023203
4.0,140.05621925509487,69.6416022487702,11.398963730569948,2.7387120651369354,13.989637305699482,36.750555144337525
5.0,140.90528080469406,83.86420787929589,6.090026478375993,3.111209179170344,8.340688437775816,25.110326566637248
6.0,151.66051660516604,68.33948339483395,8.967391304347826,1.9021739130434783,10.830745341614907,34.899068322981364
7.0,122.52384446074835,68.89214966984594,5.139103554868624,2.3183925811437405,7.302936630602782,17.8516228748068
8.0,111.64444444444445,78.84444444444445,4.258306036499766,2.1993448759943846,6.410856340664483,14.131960692559662
9.0,115.06024096385542,88.49397590361446,2.315255312400888,1.522359657469077,3.77418331747542,10.78338090707263
10.0,130.8171206225681,78.05447470817121,8.353808353808354,2.6208026208026207,10.114660114660115,30.917280917280916
11.0,139.141810570382,87.0225013082156,3.4720308624965557,3.1964728575365116,6.613392119041058,22.56820060622761
12.0,130.10160880609652,87.59525825571549,3.7664363717405838,2.2955203922442613,5.794517494985514,15.979496322710052
13.0,137.38140417457305,59.108159392789375,7.338991512730904,3.3949076385421866,10.484273589615576,29.206190713929107
14.0,136.70133729569093,78.6032689450223,4.420970266040689,3.403755868544601,7.707355242566511,23.748043818466353
15.0,139.06103286384976,70.70422535211267,3.855659911023233,3.410776075135937,7.26643598615917,24.12259021255561
16.0,130.07246376811594,86.32246376811594,6.676204101096805,4.196471149260849,10.157367668097281,31.56890796375775
17.0,107.45341614906832,56.69920141969831,7.846800560485755,1.8215787015413358,8.921064922933208,26.669780476412893
18.0,115.04796163069544,95.38369304556355,4.9842271293375395,2.5236593059936907,7.476340694006309,19.369085173501578
19.0,120.32967032967034,77.47252747252747,7.618129218900675,2.7965284474445515,9.932497589199615,28.64030858244937
20.0,104.23348300192431,74.2142398973701,2.835921674544227,2.3295070898041863,4.9966239027684,11.715057393652938
21.0,130.47882136279927,59.76058931860037,9.262851600387974,2.8612997090203685,11.784675072744907,30.552861299709022
22.0,135.9452736318408,77.07296849087894,6.547359231776517,3.535573985159319,9.864687909209952,28.17546922741161
23.0,127.57385854968666,85.13876454789614,3.3443240697126706,3.1559114460668867,5.181347150259067,16.015073009891662
24.0,135.44668587896254,98.4630163304515,2.224469160768453,3.8422649140546006,6.066734074823054,19.211324570273003
25.0,127.80026990553306,68.01619433198381,7.711442786069652,3.6602700781805257,11.122956645344704,25.79957356076759
26.0,139.10306845003933,81.11723052714399,6.128364389233955,3.7681159420289854,9.772256728778467,25.921325051759833
27.0,137.8740157480315,94.01574803149606,2.5497512437810945,2.5497512437810945,4.747097844112769,21.890547263681594
28.0,112.0424403183024,104.40318302387269,1.3679508654383026,1.2004466778336125,2.48464544946957,10.44109436069235
29.0,142.6625386996904,73.25077399380805,3.7169872839908704,2.6084121291164,6.227583958265406,20.247799152266058
30.0,161.52768044849333,84.72319551506658,10.18450184501845,7.601476014760148,17.71217712177122,30.07380073800738
31.0,122.19269102990033,48.438538205980066,14.44055944055944,2.3776223776223775,16.60839160839161,46.92307692307692
32.0,107.83764870538837,77.5367389783065,3.0939226519337018,2.394106813996317,5.009208103130755,13.296500920810313
33.0,154.79591836734693,78.46938775510205,6.229860365198711,4.35016111707841,10.526315789473685,41.35338345864662
34.0,120.99031216361679,58.66523143164693,7.312925170068027,4.931972789115647,12.131519274376418,21.882086167800452
35.0,135.41009463722398,81.78233438485805,9.66804979253112,3.2780082987551866,11.535269709543568,32.697095435684645
36.0,128.1081081081081,88.14968814968815,4.443957968476357,2.670753064798599,7.027145359019264,18.82661996497373
37.0,137.87110789283128,75.23533671252716,9.68356843309188,6.862371330537552,13.91536408692337,34.42622950819672
38.0,129.34553131597468,95.91836734693878,3.81340244353943,3.0729359496482784,6.516105146242133,15.808959644576083
39.0,147.0940170940171,69.4017094017094,3.692030616839262,4.322377307519136,7.969383160738406,30.436740207113914
40.0,104.94958753437214,65.35288725939505,8.63899613899614,3.474903474903475,11.727799227799228,29.97104247104247
41.0,70.76271186440678,69.59745762711864,1.2813370473537604,1.1142061281337048,2.1727019498607243,6.462395543175488
42.0,126.79337829552422,82.46474555487431,4.874112330535829,5.487411233053583,9.87734021949645,29.115558424790187
43.0,123.06322350845949,73.90917186108638,4.406938584153774,3.7037037037037037,7.594936708860759,25.785278949835913
44.0,129.06802517231046,81.09080011986815,5.017355632691701,3.092458188703061,7.920479646576207,27.769012306721365
45.0,121.39695031972455,73.78258730939498,5.824488739321771,3.779446026404349,8.904996117007506,33.65260160497023
46.0,102.39013107170393,78.7201233616037,1.1774259033698742,1.5834348355663825,2.7608607389362567,12.180267965895249
47.0,112.66345492085341,50.3785271851342,6.415367886915549,2.2109459949256975,8.118883653497644,29.97462848858282
48.0,120.22274325908558,68.93317702227432,7.497685899413761,4.782474544893551,10.984264116013575,35.5445850046282
49.0,94.4544906570223,59.91561181434599,2.1249603552172536,2.72756105296543,4.757373929590866,12.24230891214716
50.0,120.90395480225989,66.80790960451978,5.6526589810338415,4.499814057270361,8.962439568612867,25.548531052435848
51.0,122.7392913802221,69.27551560021153,4.8162583518930955,3.953229398663697,8.46325167037862,24.220489977728285
52.0,78.88719512195122,90.70121951219512,2.286401925391095,0.9225832330525471,3.1688728439630967,10.429201764941837
53.0,95.55555555555556,66.73835125448029,1.6610041525103814,0.9815024537561344,2.529256323140808,9.701774254435636
54.0,118.07044410413476,60.872894333843796,4.9173720274083035,4.191858121725111,7.819427650141072,34.38129786376461
55.0,124.32804962095106,57.40868366643694,3.4457743924555677,5.476967718534639,8.161044613710555,30.06891548784911
56.0,144.6397188049209,86.7311072056239,5.830633965756594,5.275335492827395,10.31929662193429,33.27163350300787
57.0,90.2244199315329,77.59604412324077,0.8810572687224669,1.7821385662795355,2.6231477773327994,10.172206647977573
58.0,98.2741116751269,63.3502538071066,3.367183324425441,1.4163548904329235,4.703367183324425,14.003206841261358
59.0,116.24225739848589,56.916724019270475,7.0315331641899235,6.596592968466836,12.105835447625951,31.351939108372598
60.0,125.85034013605441,56.559766763848394,7.413087934560327,5.9815950920245395,13.241308793456033,37.78118609406953
61.0,138.98781630740393,71.97750702905343,2.813425468904245,6.959526159921027,9.575518262586376,29.96051332675222
62.0,74.74560592044404,66.14246068455134,1.314508276533593,0.5842259006815969,1.6066212268743914,6.2317429406037
63.0,106.47058823529412,65.34313725490196,6.658064516129032,3.535483870967742,9.36774193548387,26.606451612903225
64.0,108.78306878306879,45.18518518518518,3.9554317548746516,7.632311977715878,11.643454038997215,33.53760445682451
65.0,122.09631728045326,59.96222851746931,5.069582504970179,8.97117296222664,11.083499005964216,31.53578528827038
66.0,102.4703557312253,54.1501976284585,7.440166493236212,3.6420395421436003,11.030176899063475,39.0738813735692
67.0,85.4368932038835,56.20280474649407,2.271436683702442,2.8392958546280522,4.997160704145372,14.08290743895514
68.0,113.48973607038123,50.53763440860215,5.092592592592593,4.732510288065844,9.876543209876543,30.246913580246915
99.0,0,0,0,0,0,0
,122.61883354312774,74.60788427341205,5.191718073721135,3.387869512855708,8.140984175567581,24.13843880325429
