STATE,SALES_MONTH,STATE_PRICE
Nova Scotia,2026-03-01,3.77833333
New Hampshire,2024-09-01,3.85025478
Puerto Rico,2024-11-01,3.86125820
New York,2023-03-01,3.87918025
New Hampshire,2024-11-01,3.88730337
New Hampshire,2024-08-01,3.88861878
West Virginia,2023-10-01,4.00735772
Puerto Rico,2024-10-01,4.08428074
West Virginia,2023-09-01,4.08957765
New York,2023-02-01,4.09452875
Manitoba,2026-02-01,4.11147717
Puerto Rico,2024-09-01,4.14816223
Washington,2026-04-01,4.21329593
New Hampshire,2024-10-01,4.21417647
Manitoba,2026-01-01,4.24767104
Washington,2026-05-01,4.27638525
Washington,2026-03-01,4.27874675
Manitoba,2026-04-01,4.33015748
Washington,2026-02-01,4.33030610
Washington,2025-09-01,4.35917007
Washington,2026-01-01,4.36564811
Washington,2025-11-01,4.37246728
Washington,2025-12-01,4.37449295
Manitoba,2026-05-01,4.37559821
Washington,2025-07-01,4.37638207
West Virginia,2023-05-01,4.39189582
Washington,2025-08-01,4.40079732
Washington,2025-10-01,4.40830302
Washington,2025-06-01,4.42185519
West Virginia,2023-07-01,4.43848930
Puerto Rico,2024-06-01,4.48650123
New York,2023-04-01,4.49237709
Washington,2025-05-01,4.49310320
Manitoba,2025-12-01,4.50261696
Puerto Rico,2024-05-01,4.50833864
West Virginia,2024-01-01,4.51672857
Washington,2025-04-01,4.52019236
Puerto Rico,2024-08-01,4.53105083
Manitoba,2025-09-01,4.53937170
Manitoba,2026-03-01,4.54961577
Puerto Rico,2024-02-01,4.57292465
Washington,2025-03-01,4.58234310
New York,2023-06-01,4.59238502
Washington,2025-02-01,4.60445351
Washington,2024-12-01,4.62302738
Saskatchewan,2024-02-01,4.62440222
West Virginia,2023-08-01,4.62757041
New York,2023-01-01,4.62802699
Saskatchewan,2024-03-01,4.65856109
Washington,2024-04-01,4.66022205
Puerto Rico,2024-04-01,4.67187888
Washington,2025-01-01,4.67846203
Manitoba,2025-08-01,4.68162489
Puerto Rico,2023-12-01,4.68186702
Washington,2024-11-01,4.68382536
Manitoba,2025-06-01,4.68405771
Washington,2024-05-01,4.68518994
Washington,2023-05-01,4.69003233
Manitoba,2025-11-01,4.70237179
Washington,2024-06-01,4.70385142
Puerto Rico,2024-07-01,4.70993955
Puerto Rico,2024-03-01,4.71519716
New York,2023-08-01,4.71662406
Saskatchewan,2024-04-01,4.72976970
Washington,2024-09-01,4.73193031
New York,2023-09-01,4.75332343
Manitoba,2025-07-01,4.76324756
Washington,2024-10-01,4.76665318
Texas,2025-06-01,4.78015625
Washington,2024-07-01,4.78307615
Washington,2024-08-01,4.79910711
Puerto Rico,2024-01-01,4.80056795
Washington,2023-04-01,4.80312731
West Virginia,2023-06-01,4.80545455
Washington,2024-03-01,4.82464127
West Virginia,2023-03-01,4.82552947
New York,2023-07-01,4.82755982
West Virginia,2022-09-01,4.84946844
Puerto Rico,2023-11-01,4.85297524
Washington,2022-12-01,4.86398345
Washington,2023-02-01,4.87089975
Texas,2025-08-01,4.87854167
Washington,2023-06-01,4.87980739
New York,2023-10-01,4.88517001
Saskatchewan,2024-05-01,4.88958696
Manitoba,2025-05-01,4.90685018
Saskatchewan,2024-07-01,4.91230668
New York,2023-05-01,4.91761894
Washington,2022-11-01,4.92697934
Saskatchewan,2023-07-01,4.92821417
Washington,2022-10-01,4.93689543
Saskatchewan,2024-06-01,4.93732407
