STATE,SALES_MONTH,COUNT(    DISTINCT MASTER_ID)
Missouri,2025-09-01,224
Oklahoma,2025-05-01,1103
Pennsylvania,2024-05-01,187
Alaska,2024-06-01,179
Ohio,2024-09-01,130
Illinois,2024-05-01,207
Maine,2023-09-01,224
British Columbia,2023-05-01,431
Massachusetts,2023-01-01,336
Puerto Rico,2024-07-01,291
Minnesota,2025-11-01,77
Manitoba,2023-08-01,102
New York,2023-03-01,93
New York,2023-08-01,110
Vermont,2023-09-01,63
West Virginia,2024-06-01,64
Mississippi,2023-03-01,78
Newfoundland and Labrador,2022-11-01,43
Virginia,2024-02-01,23
Hawaii,2023-06-01,22
New Brunswick,2023-09-01,22
New Hampshire,2023-09-01,8
Louisiana,2024-04-01,26
Yukon,2023-05-01,6
Delaware,2023-01-01,12
North Dakota,2023-10-01,8
Utah,2024-03-01,18
Virginia,2025-02-01,24
South Dakota,2022-09-01,12
Utah,2024-09-01,18
North Dakota,2024-11-01,8
Virginia,2022-11-01,15
Delaware,2025-12-01,15
Arkansas,2025-04-01,39
New Hampshire,2022-11-01,8
Rhode Island,2025-12-01,9
Louisiana,2023-12-01,23
Nova Scotia,2023-06-01,12
Delaware,2023-06-01,13
North Dakota,2023-08-01,8
New Hampshire,2025-07-01,8
North Dakota,2023-05-01,8
Nunavut,2022-12-01,2
Nunavut,2025-12-01,1
South Carolina,2024-02-01,1
Washington,2025-09-01,469
Michigan,2024-02-01,777
Missouri,2024-03-01,206
Ontario,2025-04-01,1624
Ontario,2025-01-01,1618
New York,2025-08-01,522
Puerto Rico,2025-12-01,273
Massachusetts,2025-04-01,412
Oregon,2023-04-01,750
Colorado,2022-10-01,743
Massachusetts,2023-02-01,339
New York,2025-09-01,541
Massachusetts,2023-10-01,358
Illinois,2026-01-01,266
Newfoundland and Labrador,2025-09-01,45
Maine,2026-01-01,229
Newfoundland and Labrador,2026-01-01,44
Massachusetts,2024-10-01,397
Alaska,2025-10-01,187
British Columbia,2023-11-01,428
Missouri,2022-09-01,190
Ohio,2023-08-01,109
Saskatchewan,2025-06-01,98
Delaware,2025-03-01,14
Missouri,2023-05-01,197
Arizona,2025-03-01,173
Delaware,2023-08-01,13
Ohio,2024-12-01,131
Puerto Rico,2023-05-01,270
Missouri,2024-05-01,205
Manitoba,2024-10-01,112
New Mexico,2025-04-01,576
New Jersey,2025-08-01,272
Connecticut,2025-08-01,69
New Mexico,2024-11-01,580
Maine,2025-08-01,232
Manitoba,2022-10-01,104
Virginia,2026-03-01,24
Hawaii,2023-10-01,24
Mississippi,2024-04-01,154
South Dakota,2024-03-01,67
Maine,2023-05-01,240
Yukon,2025-07-01,6
West Virginia,2025-12-01,65
South Dakota,2024-10-01,68
Vermont,2023-04-01,59
West Virginia,2024-11-01,61
Utah,2024-10-01,18
West Virginia,2022-09-01,41
District of Columbia,2022-11-01,17
Hawaii,2025-09-01,26
Hawaii,2024-01-01,24
District of Columbia,2024-08-01,20
Minnesota,2023-02-01,39
New Brunswick,2025-12-01,28
Rhode Island,2024-12-01,8
Connecticut,2023-01-01,25
South Dakota,2023-11-01,64
Louisiana,2023-07-01,20
Delaware,2023-05-01,12
Utah,2025-04-01,18
New Brunswick,2024-05-01,24
Connecticut,2023-03-01,25
Yukon,2025-04-01,6
Utah,2025-07-01,18
Delaware,2023-09-01,13
Delaware,2022-12-01,11
Texas,2024-12-01,5
New Hampshire,2024-09-01,8
Delaware,2023-07-01,13
Nunavut,2023-03-01,2
Texas,2024-02-01,5
Georgia,2023-07-01,4
Northern Mariana Islands,2024-01-01,1
California,2025-09-01,1423
Washington,2025-02-01,472
Washington,2024-02-01,470
Maryland,2024-08-01,101
Oregon,2022-10-01,763
Missouri,2023-09-01,202
Maryland,2023-05-01,99
Ontario,2024-05-01,1654
Manitoba,2023-12-01,103
Missouri,2024-01-01,207
New Mexico,2024-09-01,599
Oregon,2024-08-01,715
British Columbia,2025-10-01,433
Missouri,2025-11-01,223
British Columbia,2024-07-01,428
Ontario,2022-09-01,1570
Ohio,2025-08-01,170
Nevada,2023-03-01,111
Oregon,2023-08-01,750
British Columbia,2025-12-01,432
Ohio,2025-06-01,154
Connecticut,2024-09-01,50
Maine,2024-05-01,221
Alberta,2022-09-01,761
Manitoba,2023-01-01,100
Minnesota,2024-12-01,61
New Jersey,2025-03-01,239
Manitoba,2025-09-01,119
Newfoundland and Labrador,2024-03-01,41
Virginia,2024-06-01,24
Minnesota,2025-02-01,66
Minnesota,2022-11-01,38
Missouri,2025-05-01,215
Montana,2026-03-01,415
Puerto Rico,2023-10-01,283
Pennsylvania,2024-10-01,187
British Columbia,2025-02-01,433
Montana,2024-02-01,385
Montana,2025-01-01,402
Newfoundland and Labrador,2024-12-01,42
Louisiana,2026-01-01,36
Virginia,2023-11-01,23
New Brunswick,2023-01-01,21
Saskatchewan,2026-02-01,98
Vermont,2023-07-01,60
Mississippi,2022-11-01,25
Pennsylvania,2026-01-01,193
Arkansas,2025-09-01,39
Newfoundland and Labrador,2024-11-01,42
South Dakota,2022-12-01,40
New Brunswick,2025-09-01,28
Louisiana,2023-01-01,19
Nova Scotia,2024-07-01,14
Utah,2023-12-01,18
Utah,2023-08-01,18
North Dakota,2025-02-01,8
North Dakota,2023-03-01,8
New Brunswick,2023-12-01,22
North Dakota,2025-04-01,8
Rhode Island,2023-09-01,8
Kentucky,2026-01-01,3
Yukon,2024-11-01,6
Iowa,2025-08-01,5
Nunavut,2024-10-01,2
Nunavut,2024-09-01,2
Iowa,2022-11-01,5
Georgia,2023-12-01,5
Nunavut,2022-11-01,2
South Carolina,2024-03-01,1
South Carolina,2023-06-01,1
South Carolina,2023-08-01,1
Washington,2023-12-01,470
Vermont,2025-07-01,104
Colorado,2023-03-01,746
Maine,2025-11-01,230
Massachusetts,2022-10-01,319
Alberta,2026-01-01,778
California,2024-08-01,1477
Michigan,2023-08-01,744
