STATE,SALES_MONTH,COUNT(    DISTINCT MASTER_ID)
Yukon,2024-08-01,6
Georgia,2023-09-01,4
Yukon,2023-04-01,6
Yukon,2024-02-01,6
Nunavut,2023-04-01,2
Nunavut,2024-04-01,2
Georgia,2023-06-01,2
Quebec,2024-01-01,1
North Carolina,2025-09-01,1
North Carolina,2024-06-01,1
Illinois,2024-08-01,222
New Mexico,2025-12-01,558
California,2023-02-01,1614
Arizona,2024-07-01,177
Oregon,2024-06-01,709
Arizona,2023-03-01,161
Arizona,2024-02-01,178
Alberta,2023-07-01,740
Massachusetts,2025-06-01,415
Oklahoma,2025-06-01,1089
Oklahoma,2023-03-01,1635
Illinois,2023-09-01,162
New Mexico,2025-02-01,577
Alberta,2023-10-01,735
Missouri,2025-10-01,222
Maryland,2022-11-01,113
Puerto Rico,2024-10-01,290
Pennsylvania,2023-09-01,183
Nevada,2025-12-01,116
Alaska,2024-03-01,169
Colorado,2023-10-01,732
Alaska,2023-10-01,166
Connecticut,2026-03-01,68
Maine,2025-05-01,228
New Mexico,2024-02-01,588
Hawaii,2024-05-01,24
Saskatchewan,2024-10-01,100
Alberta,2026-03-01,787
Manitoba,2023-09-01,102
Maine,2024-11-01,228
New York,2026-02-01,625
New Jersey,2024-01-01,107
Mississippi,2024-02-01,148
Florida,2025-10-01,725
Florida,2024-03-01,646
Florida,2023-03-01,600
Pennsylvania,2025-07-01,193
Yukon,2023-12-01,6
Arkansas,2025-11-01,38
Arkansas,2025-10-01,38
Minnesota,2024-09-01,54
Arkansas,2023-04-01,40
New Hampshire,2023-05-01,8
Nunavut,2023-01-01,2
Yukon,2025-01-01,6
Texas,2025-03-01,11
New Brunswick,2024-12-01,27
Georgia,2025-01-01,5
Utah,2024-07-01,18
Iowa,2025-01-01,5
Georgia,2025-08-01,5
Iowa,2024-05-01,5
Texas,2025-10-01,11
North Dakota,2024-01-01,8
North Carolina,2024-05-01,1
North Carolina,2024-04-01,1
Nunavut,2026-03-01,1
North Carolina,2025-02-01,1
Kentucky,2025-12-01,1
South Carolina,2023-04-01,1
California,2023-11-01,1645
Michigan,2023-05-01,717
Michigan,2024-06-01,809
Michigan,2024-05-01,807
Pennsylvania,2025-08-01,190
Maine,2025-04-01,231
Massachusetts,2025-01-01,404
New Mexico,2025-01-01,581
New Mexico,2023-04-01,504
Ontario,2023-02-01,1638
New Mexico,2025-03-01,576
Colorado,2022-11-01,741
Alaska,2023-06-01,164
Missouri,2025-08-01,220
Pennsylvania,2024-09-01,188
New Mexico,2023-09-01,568
Manitoba,2024-08-01,111
California,2024-07-01,1497
Pennsylvania,2025-01-01,189
Ohio,2026-01-01,193
Missouri,2024-09-01,207
Missouri,2023-03-01,197
Mississippi,2024-06-01,160
New Mexico,2025-09-01,568
Montana,2025-09-01,415
New York,2023-04-01,94
Connecticut,2024-04-01,42
Ohio,2023-04-01,94
Minnesota,2024-10-01,55
South Dakota,2025-04-01,64
District of Columbia,2025-03-01,44
West Virginia,2024-03-01,62
Florida,2025-03-01,726
Illinois,2024-01-01,185
Oregon,2024-11-01,710
Washington,2023-02-01,472
Louisiana,2025-02-01,34
Puerto Rico,2023-03-01,267
Maryland,2025-07-01,105
Maryland,2025-06-01,105
New Jersey,2025-02-01,232
Manitoba,2023-03-01,102
Hawaii,2023-09-01,22
Saskatchewan,2023-08-01,106
Ohio,2023-11-01,119
Virginia,2024-12-01,24
Puerto Rico,2023-12-01,289
Minnesota,2025-04-01,67
North Dakota,2023-04-01,8
Florida,2024-01-01,637
Ohio,2023-12-01,121
New Mexico,2023-05-01,512
Maryland,2025-05-01,104
Alberta,2023-04-01,745
Iowa,2024-12-01,5
Maryland,2025-04-01,104
Mississippi,2025-07-01,174
Vermont,2025-09-01,104
Nevada,2022-11-01,110
Nevada,2024-05-01,116
Newfoundland and Labrador,2025-03-01,43
New York,2022-10-01,79
West Virginia,2022-10-01,44
New Hampshire,2023-11-01,8
Hawaii,2025-05-01,25
New Brunswick,2025-11-01,28
Utah,2023-09-01,18
Yukon,2025-11-01,5
Nova Scotia,2023-03-01,12
Texas,2025-02-01,5
Iowa,2025-12-01,5
Nunavut,2024-12-01,2
North Carolina,2025-03-01,1
Quebec,2023-11-01,1
North Carolina,2025-04-01,1
South Carolina,2022-12-01,1
Oklahoma,2024-08-01,1256
Illinois,2025-11-01,262
Washington,2022-10-01,479
Oregon,2023-11-01,744
Pennsylvania,2024-12-01,188
Oregon,2025-07-01,697
California,2026-03-01,1409
Washington,2025-05-01,470
British Columbia,2023-10-01,427
California,2024-01-01,1530
California,2024-12-01,1471
New Mexico,2025-10-01,566
Illinois,2023-11-01,174
New York,2025-06-01,486
Maryland,2024-10-01,101
Oregon,2022-11-01,762
British Columbia,2024-04-01,418
Manitoba,2024-06-01,107
Saskatchewan,2024-01-01,105
Ohio,2025-12-01,189
Puerto Rico,2024-05-01,294
Colorado,2024-04-01,728
Montana,2023-04-01,390
Newfoundland and Labrador,2024-02-01,41
Arizona,2022-12-01,159
Oregon,2024-01-01,717
Ohio,2024-01-01,125
Puerto Rico,2024-12-01,291
Arkansas,2025-02-01,41
Florida,2025-08-01,729
Illinois,2025-12-01,262
Missouri,2023-08-01,199
District of Columbia,2026-02-01,68
Manitoba,2022-11-01,103
West Virginia,2023-12-01,60
British Columbia,2022-12-01,425
West Virginia,2024-07-01,64
Maine,2023-04-01,243
Louisiana,2024-09-01,30
Nevada,2025-01-01,116
South Dakota,2023-10-01,61
Minnesota,2024-03-01,50
Virginia,2025-01-01,24
Arkansas,2025-06-01,39
Louisiana,2026-03-01,36
Arkansas,2023-12-01,40
Hawaii,2024-09-01,23
Louisiana,2024-03-01,25
Utah,2025-05-01,18
Utah,2025-03-01,18
Louisiana,2024-11-01,31
Louisiana,2024-05-01,27
Virginia,2023-12-01,23
New Brunswick,2022-12-01,21
New Hampshire,2024-08-01,8
Nunavut,2025-09-01,2
North Dakota,2025-01-01,8
Texas,2024-01-01,5
Iowa,2023-12-01,5
Texas,2024-03-01,5
New Hampshire,2025-12-01,8
South Carolina,2023-03-01,1
Northern Mariana Islands,2023-08-01,1
Northern Mariana Islands,2023-07-01,1
Washington,2023-09-01,470
California,2022-10-01,1548
Maryland,2024-12-01,100
Michigan,2025-09-01,791
Michigan,2023-10-01,756
Colorado,2026-02-01,664
Oklahoma,2025-04-01,1114
California,2023-09-01,1655
Ontario,2022-10-01,1592
Ontario,2025-07-01,1641
Alaska,2026-02-01,188
Pennsylvania,2024-03-01,187
Arizona,2025-10-01,175
Alberta,2024-09-01,738
British Columbia,2024-03-01,434
Newfoundland and Labrador,2025-04-01,44
Nevada,2026-01-01,116
Utah,2025-10-01,18
Montana,2023-12-01,383
Maine,2025-02-01,227
Arkansas,2023-02-01,40
Manitoba,2025-01-01,114
Hawaii,2023-04-01,22
New York,2023-01-01,85
Saskatchewan,2023-09-01,105
Nova Scotia,2025-06-01,17
Florida,2024-04-01,664
Maryland,2026-02-01,111
Nevada,2023-06-01,113
Arizona,2023-04-01,164
Mississippi,2023-02-01,59
Mississippi,2023-10-01,125
South Dakota,2026-02-01,68
Manitoba,2025-10-01,119
District of Columbia,2025-10-01,65
Utah,2025-12-01,18
Virginia,2025-05-01,24
Hawaii,2023-12-01,24
Nova Scotia,2024-02-01,14
Utah,2022-12-01,17
Nova Scotia,2026-03-01,17
New Hampshire,2024-07-01,8
New Hampshire,2024-06-01,8
North Dakota,2024-09-01,8
Iowa,2025-02-01,5
New Hampshire,2023-01-01,8
Yukon,2023-06-01,6
Nunavut,2024-03-01,2
Iowa,2024-01-01,5
North Carolina,2026-01-01,1
North Carolina,2026-02-01,1
California,2025-10-01,1415
Oregon,2023-09-01,746
Colorado,2024-08-01,709
New York,2024-09-01,284
Colorado,2025-11-01,664
British Columbia,2024-10-01,427
Mississippi,2025-01-01,170
Ohio,2026-02-01,197
Montana,2024-08-01,394
Colorado,2025-01-01,701
Washington,2024-08-01,475
Saskatchewan,2025-05-01,98
Arizona,2024-06-01,178
Maine,2024-06-01,225
Missouri,2026-02-01,226
Maine,2025-03-01,228
Missouri,2024-04-01,206
Maine,2026-02-01,227
Ohio,2023-06-01,99
Maryland,2023-06-01,100
Puerto Rico,2023-01-01,265
Pennsylvania,2024-08-01,187
Pennsylvania,2023-04-01,181
British Columbia,2025-11-01,430
Mississippi,2025-10-01,176
Saskatchewan,2024-06-01,100
Alaska,2023-12-01,167
Ohio,2023-03-01,91
Saskatchewan,2023-01-01,105
British Columbia,2023-09-01,428
District of Columbia,2025-07-01,62
Puerto Rico,2025-01-01,294
Iowa,2026-01-01,5
Minnesota,2025-12-01,80
Arizona,2024-04-01,179
Manitoba,2025-12-01,117
Alberta,2024-04-01,752
California,2023-08-01,1685
Pennsylvania,2023-02-01,176
Montana,2024-03-01,391
Missouri,2024-12-01,215
Arizona,2025-05-01,174
Louisiana,2026-02-01,36
Alaska,2024-05-01,176
Hawaii,2025-08-01,25
Louisiana,2022-10-01,19
Arkansas,2023-09-01,40
Texas,2023-03-01,8
Minnesota,2026-01-01,86
Arkansas,2024-12-01,41
Arkansas,2022-11-01,41
New Jersey,2023-05-01,60
Utah,2026-01-01,18
Virginia,2023-09-01,23
Utah,2024-02-01,18
Arkansas,2024-03-01,40
West Virginia,2026-01-01,66
Louisiana,2025-07-01,33
South Dakota,2022-11-01,31
Saskatchewan,2025-11-01,98
Utah,2022-10-01,17
Hawaii,2023-07-01,22
Hawaii,2024-11-01,24
Texas,2025-09-01,11
Delaware,2023-12-01,13
Rhode Island,2023-01-01,8
Rhode Island,2025-04-01,8
Nova Scotia,2023-11-01,12
Iowa,2024-06-01,5
Georgia,2025-04-01,5
Iowa,2023-06-01,5
Texas,2022-09-01,7
Nunavut,2024-07-01,2
Nunavut,2025-10-01,2
Quebec,2024-02-01,1
South Carolina,2023-07-01,1
Washington,2026-01-01,463
Ontario,2024-09-01,1664
Oklahoma,2025-03-01,1117
Massachusetts,2026-03-01,424
Michigan,2023-12-01,771
New York,2025-12-01,591
New Mexico,2025-08-01,573
Vermont,2023-10-01,68
Colorado,2025-08-01,669
Nevada,2025-07-01,117
Missouri,2024-10-01,209
New Mexico,2025-11-01,558
Michigan,2024-12-01,833
Michigan,2025-03-01,836
Missouri,2024-06-01,206
Ohio,2025-02-01,139
Maryland,2023-08-01,102
Ontario,2022-12-01,1610
Alberta,2023-05-01,747
Montana,2025-02-01,404
Manitoba,2025-04-01,116
Alaska,2023-11-01,166
Puerto Rico,2026-01-01,273
Nevada,2022-09-01,109
Montana,2024-07-01,389
Nevada,2025-11-01,117
Minnesota,2025-10-01,73
Saskatchewan,2023-10-01,105
Ohio,2022-12-01,73
New Brunswick,2024-10-01,27
Newfoundland and Labrador,2022-10-01,42
Newfoundland and Labrador,2023-07-01,41
Arizona,2023-12-01,177
British Columbia,2023-12-01,428
Missouri,2022-11-01,195
Nevada,2023-04-01,111
Alberta,2025-07-01,760
Massachusetts,2024-09-01,396
Massachusetts,2025-11-01,423
Nevada,2024-08-01,116
British Columbia,2024-08-01,430
Puerto Rico,2024-04-01,287
New Jersey,2023-04-01,57
Newfoundland and Labrador,2025-06-01,44
New Brunswick,2026-02-01,28
Arkansas,2025-05-01,39
Delaware,2023-11-01,13
Arkansas,2022-10-01,41
North Dakota,2022-10-01,8
Hawaii,2022-10-01,19
New Brunswick,2024-01-01,22
Nova Scotia,2025-07-01,17
District of Columbia,2024-10-01,22
Connecticut,2024-06-01,44
Virginia,2022-12-01,19
Minnesota,2023-06-01,40
New Hampshire,2024-05-01,8
Nova Scotia,2025-02-01,16
Yukon,2023-03-01,6
Delaware,2025-07-01,14
Iowa,2026-02-01,5
Iowa,2024-08-01,5
North Dakota,2022-12-01,8
Texas,2023-02-01,8
Rhode Island,2025-11-01,8
Iowa,2026-03-01,5
Nunavut,2023-08-01,2
Northern Mariana Islands,2022-11-01,1
North Carolina,2026-03-01,1
Northern Mariana Islands,2022-12-01,1
California,2025-12-01,1404
Michigan,2025-04-01,837
Washington,2024-03-01,469
British Columbia,2025-09-01,434
Alaska,2023-03-01,168
Colorado,2025-12-01,664
Illinois,2024-04-01,200
Oregon,2025-04-01,695
Connecticut,2026-01-01,69
Illinois,2024-07-01,221
Alberta,2025-11-01,772
Nevada,2025-04-01,117
Montana,2023-06-01,354
New Jersey,2023-08-01,73
California,2023-06-01,1636
Pennsylvania,2023-12-01,184
Manitoba,2023-11-01,102
Montana,2023-10-01,376
Alaska,2023-08-01,164
New Mexico,2024-01-01,592
Puerto Rico,2024-08-01,293
Nevada,2026-03-01,117
Alberta,2024-06-01,751
West Virginia,2024-12-01,61
Michigan,2024-07-01,814
New Jersey,2023-06-01,64
Nevada,2022-10-01,109
South Dakota,2026-01-01,67
Ohio,2024-04-01,127
Maine,2025-06-01,229
Mississippi,2023-04-01,95
Maryland,2023-07-01,102
Puerto Rico,2022-10-01,234
Missouri,2024-02-01,207
Colorado,2023-01-01,745
New Jersey,2023-10-01,78
Connecticut,2024-08-01,47
Saskatchewan,2023-04-01,106
Mississippi,2025-11-01,179
West Virginia,2023-02-01,51
West Virginia,2023-10-01,58
Vermont,2023-01-01,48
Saskatchewan,2023-07-01,106
New Brunswick,2025-10-01,28
Rhode Island,2022-12-01,8
Virginia,2022-10-01,15
Hawaii,2024-10-01,24
Minnesota,2025-05-01,68
Newfoundland and Labrador,2025-07-01,44
Newfoundland and Labrador,2025-10-01,45
Connecticut,2022-10-01,21
New Brunswick,2025-04-01,27
North Dakota,2024-03-01,8
Rhode Island,2024-04-01,8
Rhode Island,2024-02-01,8
Vermont,2022-09-01,11
Yukon,2023-10-01,6
North Dakota,2024-10-01,8
Iowa,2025-03-01,5
Iowa,2023-04-01,5
New Hampshire,2024-11-01,8
Nunavut,2024-11-01,2
Nunavut,2023-06-01,2
California,2025-01-01,1471
Oregon,2023-10-01,745
Oklahoma,2025-10-01,1031
Alaska,2025-06-01,188
California,2023-07-01,1687
Oklahoma,2025-08-01,1060
Connecticut,2025-05-01,68
New York,2025-10-01,564
Alaska,2025-05-01,188
Massachusetts,2023-05-01,343
Montana,2023-03-01,386
New Jersey,2026-02-01,302
Vermont,2026-01-01,102
Alberta,2024-08-01,748
Saskatchewan,2024-03-01,105
Ohio,2022-09-01,65
South Dakota,2025-07-01,67
New Mexico,2022-09-01,329
Manitoba,2025-08-01,118
Minnesota,2025-09-01,71
Maine,2022-09-01,271
Louisiana,2023-08-01,20
Hawaii,2024-04-01,23
Hawaii,2024-03-01,23
Colorado,2023-02-01,745
Manitoba,2026-01-01,117
British Columbia,2022-09-01,439
Ohio,2024-07-01,131
Hawaii,2022-09-01,19
Florida,2026-02-01,738
Vermont,2023-08-01,62
South Dakota,2025-10-01,66
Newfoundland and Labrador,2023-02-01,42
Arkansas,2025-01-01,41
Vermont,2022-11-01,34
West Virginia,2023-05-01,57
Delaware,2024-11-01,14
Georgia,2024-03-01,5
Newfoundland and Labrador,2023-06-01,41
Virginia,2024-10-01,24
Virginia,2025-09-01,24
Virginia,2025-11-01,24
Hawaii,2025-11-01,26
Nova Scotia,2023-10-01,12
New Brunswick,2023-11-01,22
Delaware,2025-02-01,14
Iowa,2023-07-01,5
Delaware,2025-05-01,14
Iowa,2022-12-01,5
Virginia,2025-10-01,24
New Hampshire,2022-12-01,8
Hawaii,2023-02-01,22
North Dakota,2025-09-01,8
Delaware,2025-10-01,15
Rhode Island,2025-01-01,8
New Hampshire,2024-04-01,8
District of Columbia,2023-07-01,16
Iowa,2025-07-01,5
Rhode Island,2024-07-01,8
Yukon,2024-07-01,6
Nunavut,2025-06-01,2
Northern Mariana Islands,2023-04-01,1
Northern Mariana Islands,2023-12-01,1
South Carolina,2023-10-01,1
South Carolina,2023-02-01,1
Washington,2025-12-01,464
Michigan,2023-04-01,716
New York,2024-10-01,299
Washington,2023-04-01,474
California,2025-11-01,1399
Michigan,2022-12-01,675
Washington,2023-06-01,473
New Mexico,2025-06-01,582
California,2025-08-01,1428
Alberta,2023-09-01,736
Oklahoma,2024-09-01,1242
New Mexico,2025-05-01,573
Montana,2024-10-01,389
Oklahoma,2025-09-01,1044
Illinois,2024-09-01,229
Ontario,2024-03-01,1633
Massachusetts,2025-08-01,421
Washington,2025-10-01,468
Connecticut,2025-07-01,70
California,2024-05-01,1504
Mississippi,2025-06-01,169
New York,2025-04-01,458
Ohio,2024-03-01,125
Pennsylvania,2023-07-01,183
Montana,2023-11-01,381
Maine,2023-12-01,222
Maryland,2025-12-01,109
Maryland,2025-03-01,102
Alaska,2024-12-01,183
New York,2023-10-01,117
Alaska,2025-01-01,184
Virginia,2023-08-01,23
Mississippi,2023-09-01,121
Arkansas,2023-01-01,40
Minnesota,2024-08-01,54
Nova Scotia,2024-09-01,16
Florida,2023-07-01,616
Washington,2023-03-01,472
California,2023-04-01,1637
Maine,2024-09-01,228
Missouri,2025-07-01,219
Pennsylvania,2022-12-01,174
Newfoundland and Labrador,2023-03-01,42
Oklahoma,2024-02-01,1429
Oregon,2023-01-01,747
Maine,2024-03-01,225
Maine,2024-01-01,221
Mississippi,2025-04-01,166
Manitoba,2025-02-01,114
Alaska,2022-11-01,161
Newfoundland and Labrador,2025-05-01,44
Virginia,2024-07-01,24
New Brunswick,2024-02-01,23
New Hampshire,2024-10-01,8
New Jersey,2023-03-01,51
District of Columbia,2022-10-01,17
Hawaii,2024-02-01,23
Louisiana,2022-11-01,19
New Brunswick,2022-11-01,21
Virginia,2023-02-01,20
New Brunswick,2023-08-01,22
Georgia,2026-03-01,18
Texas,2024-08-01,5
Rhode Island,2023-06-01,8
North Dakota,2025-06-01,8
Rhode Island,2023-05-01,8
Nova Scotia,2023-09-01,12
Nunavut,2023-10-01,2
Texas,2024-09-01,5
North Dakota,2022-11-01,8
Yukon,2023-02-01,6
Yukon,2023-11-01,6
Iowa,2022-09-01,5
Yukon,2024-03-01,6
Nunavut,2025-01-01,2
Oregon,2023-03-01,752
Oregon,2024-10-01,707
Michigan,2023-09-01,754
Nevada,2025-06-01,116
Ontario,2023-07-01,1656
Illinois,2025-07-01,258
Michigan,2024-04-01,796
Colorado,2025-03-01,688
South Dakota,2025-11-01,67
Washington,2025-08-01,470
Ohio,2026-03-01,200
Maryland,2024-02-01,100
Illinois,2022-09-01,112
Massachusetts,2024-02-01,372
Missouri,2023-07-01,198
Alberta,2023-12-01,738
Ohio,2025-10-01,179
Montana,2025-06-01,415
British Columbia,2023-02-01,431
Connecticut,2024-10-01,53
Mississippi,2024-08-01,162
Alberta,2024-05-01,751
New Jersey,2025-09-01,278
Vermont,2025-06-01,104
Vermont,2025-10-01,104
South Dakota,2023-04-01,46
Connecticut,2025-12-01,69
Newfoundland and Labrador,2023-08-01,41
Vermont,2023-11-01,73
New Jersey,2023-07-01,66
Puerto Rico,2023-09-01,283
New Jersey,2024-02-01,116
Hawaii,2026-03-01,25
Ontario,2023-09-01,1662
Oregon,2024-09-01,710
New Mexico,2024-03-01,591
Ohio,2023-07-01,103
Vermont,2025-05-01,103
New Jersey,2022-12-01,46
Montana,2025-07-01,418
South Dakota,2025-09-01,66
Virginia,2023-04-01,21
Florida,2024-09-01,707
Florida,2025-01-01,726
Arizona,2024-08-01,175
Newfoundland and Labrador,2026-03-01,44
Newfoundland and Labrador,2024-06-01,41
New Hampshire,2025-06-01,8
Hawaii,2025-06-01,25
New Brunswick,2024-08-01,27
Rhode Island,2024-05-01,8
Arkansas,2023-07-01,40
North Dakota,2026-02-01,8
Delaware,2024-09-01,14
Utah,2023-03-01,18
Louisiana,2023-05-01,20
Texas,2025-08-01,11
Yukon,2025-09-01,5
Georgia,2025-05-01,5
New Mexico,2024-07-01,602
California,2022-12-01,1583
Washington,2024-10-01,471
Arizona,2023-10-01,177
Colorado,2025-07-01,677
Oklahoma,2024-07-01,1266
Washington,2023-10-01,470
Ontario,2025-11-01,1606
Ohio,2025-04-01,146
Missouri,2025-03-01,214
Ohio,2024-06-01,131
Missouri,2025-04-01,215
Ontario,2023-12-01,1610
Ontario,2024-10-01,1665
Connecticut,2024-05-01,43
Massachusetts,2022-11-01,329
Newfoundland and Labrador,2025-02-01,43
Manitoba,2024-09-01,111
British Columbia,2025-01-01,429
Massachusetts,2024-03-01,376
Manitoba,2023-06-01,102
Nevada,2024-09-01,116
Alaska,2025-07-01,189
Vermont,2024-05-01,82
Saskatchewan,2023-03-01,105
Puerto Rico,2024-01-01,294
Utah,2023-11-01,18
Vermont,2025-08-01,104
New Brunswick,2025-05-01,27
Missouri,2023-04-01,198
West Virginia,2023-04-01,56
Texas,2025-05-01,11
Minnesota,2024-05-01,52
Newfoundland and Labrador,2024-07-01,41
New Jersey,2025-10-01,285
Ontario,2023-05-01,1650
Maine,2025-09-01,232
Pennsylvania,2025-10-01,191
Manitoba,2025-03-01,114
Minnesota,2024-04-01,50
New Brunswick,2026-01-01,28
Florida,2024-05-01,672
District of Columbia,2023-05-01,16
Connecticut,2025-03-01,61
New Hampshire,2023-06-01,8
West Virginia,2025-01-01,61
Louisiana,2025-06-01,33
Nova Scotia,2024-01-01,14
Vermont,2022-12-01,43
Nova Scotia,2024-05-01,14
Louisiana,2024-07-01,28
Hawaii,2025-01-01,25
Nova Scotia,2026-02-01,17
Georgia,2026-01-01,18
Connecticut,2022-09-01,21
Georgia,2024-12-01,5
North Dakota,2025-07-01,8
Nunavut,2023-07-01,2
Yukon,2022-09-01,5
New Hampshire,2025-08-01,8
Iowa,2025-11-01,5
Rhode Island,2023-08-01,8
Texas,2024-04-01,5
Iowa,2024-02-01,5
Iowa,2024-09-01,5
Nunavut,2023-02-01,2
North Carolina,2025-08-01,1
Northern Mariana Islands,2023-01-01,1
South Carolina,2024-05-01,1
Washington,2025-07-01,472
Oklahoma,2022-10-01,1809
Oregon,2024-04-01,717
Colorado,2022-12-01,741
Arizona,2024-09-01,174
Arkansas,2023-03-01,40
Montana,2026-01-01,413
Ontario,2024-08-01,1666
Pennsylvania,2022-10-01,171
Colorado,2025-06-01,675
British Columbia,2024-12-01,431
Ontario,2024-02-01,1625
California,2023-10-01,1655
District of Columbia,2024-12-01,29
British Columbia,2024-05-01,420
Maryland,2026-01-01,111
Manitoba,2023-05-01,102
Oregon,2025-06-01,693
Puerto Rico,2024-11-01,292
British Columbia,2025-08-01,432
Pennsylvania,2023-05-01,183
Alaska,2022-12-01,162
Montana,2025-04-01,404
Mississippi,2026-02-01,182
New York,2024-01-01,168
Oregon,2026-02-01,694
Maryland,2025-09-01,108
Alberta,2025-12-01,774
New Jersey,2024-04-01,137
Alberta,2024-07-01,748
Puerto Rico,2024-03-01,287
District of Columbia,2026-01-01,67
Louisiana,2025-12-01,36
Hawaii,2024-12-01,24
Florida,2023-09-01,618
Oklahoma,2024-12-01,1179
Washington,2025-01-01,473
New Jersey,2026-01-01,299
New Mexico,2026-02-01,558
Puerto Rico,2025-09-01,272
Colorado,2024-07-01,717
Vermont,2025-03-01,100
New York,2023-11-01,131
Pennsylvania,2026-03-01,193
Vermont,2025-11-01,102
New Jersey,2023-02-01,48
New Brunswick,2023-10-01,22
Missouri,2025-01-01,215
Newfoundland and Labrador,2024-08-01,41
Newfoundland and Labrador,2026-02-01,44
Ohio,2022-10-01,66
Louisiana,2023-10-01,22
Minnesota,2023-12-01,44
Iowa,2025-09-01,5
Minnesota,2024-02-01,50
New Hampshire,2025-03-01,8
Virginia,2024-03-01,23
Rhode Island,2023-03-01,8
Delaware,2025-06-01,14
Kentucky,2026-02-01,7
Nova Scotia,2023-04-01,12
North Dakota,2024-12-01,8
North Dakota,2022-09-01,8
District of Columbia,2022-09-01,15
New Hampshire,2023-12-01,8
Delaware,2024-04-01,13
Virginia,2023-10-01,23
Delaware,2025-01-01,14
Rhode Island,2022-09-01,4
Georgia,2024-04-01,5
North Dakota,2025-11-01,8
New Hampshire,2022-10-01,8
Texas,2023-08-01,9
Nunavut,2025-02-01,2
Northern Mariana Islands,2023-03-01,1
Michigan,2026-03-01,777
Colorado,2025-02-01,692
Colorado,2024-02-01,730
Illinois,2023-06-01,140
Oregon,2023-12-01,730
Pennsylvania,2025-03-01,191
British Columbia,2022-10-01,440
Alberta,2022-10-01,772
Oregon,2025-12-01,693
Nevada,2025-10-01,117
Arizona,2025-09-01,175
Pennsylvania,2023-06-01,183
Saskatchewan,2022-12-01,106
Nevada,2025-03-01,116
Arizona,2025-06-01,175
Alaska,2024-09-01,180
Montana,2025-12-01,416
Alberta,2024-11-01,737
British Columbia,2026-02-01,434
Nevada,2024-04-01,116
Missouri,2025-06-01,219
California,2023-01-01,1611
Arizona,2023-11-01,176
Maryland,2023-11-01,101
Vermont,2024-11-01,94
New York,2023-05-01,96
Minnesota,2023-03-01,40
Vermont,2023-06-01,59
South Dakota,2023-08-01,57
Florida,2026-03-01,738
California,2024-11-01,1467
Oregon,2026-03-01,693
Arkansas,2025-03-01,40
Alaska,2022-09-01,161
New York,2023-07-01,105
Illinois,2023-02-01,127
Minnesota,2026-02-01,93
District of Columbia,2025-09-01,65
West Virginia,2023-03-01,53
Texas,2026-02-01,11
Arkansas,2024-10-01,41
Virginia,2025-03-01,24
New Hampshire,2024-03-01,8
Hawaii,2024-08-01,23
Nova Scotia,2025-09-01,17
Connecticut,2023-10-01,30
Hawaii,2023-03-01,22
West Virginia,2023-08-01,57
Georgia,2025-12-01,16
Delaware,2023-02-01,12
North Dakota,2023-06-01,8
Hawaii,2025-04-01,27
Utah,2025-11-01,18
Utah,2023-02-01,18
Newfoundland and Labrador,2024-05-01,41
Georgia,2024-07-01,5
Nova Scotia,2024-10-01,16
Mississippi,2022-10-01,7
Louisiana,2022-12-01,19
Yukon,2023-09-01,6
Rhode Island,2026-01-01,9
Nova Scotia,2023-08-01,12
New Hampshire,2025-02-01,8
North Dakota,2023-02-01,8
Yukon,2023-07-01,6
North Dakota,2025-12-01,8
Yukon,2024-12-01,6
Nunavut,2025-03-01,2
Nunavut,2024-06-01,2
North Carolina,2024-08-01,1
Washington,2023-05-01,473
Washington,2026-02-01,463
Pennsylvania,2025-11-01,192
Nevada,2026-02-01,117
Maine,2023-02-01,246
British Columbia,2025-06-01,433
New Jersey,2024-03-01,126
Arizona,2024-10-01,174
Massachusetts,2025-10-01,423
Louisiana,2025-05-01,33
Pennsylvania,2024-07-01,186
Manitoba,2024-04-01,106
Arkansas,2025-12-01,37
Mississippi,2026-03-01,181
Maryland,2023-01-01,98
New Mexico,2022-12-01,430
Colorado,2023-05-01,742
Alberta,2024-12-01,737
Saskatchewan,2025-10-01,99
West Virginia,2024-08-01,63
Alaska,2025-11-01,187
Utah,2022-11-01,17
Arkansas,2023-06-01,40
New York,2022-11-01,79
South Dakota,2025-02-01,66
Vermont,2025-04-01,103
Saskatchewan,2025-08-01,98
Newfoundland and Labrador,2023-01-01,43
Georgia,2025-10-01,16
Michigan,2025-07-01,827
Mississippi,2024-01-01,143
British Columbia,2023-04-01,432
Arizona,2025-07-01,174
Arizona,2023-07-01,167
West Virginia,2026-02-01,66
Mississippi,2023-08-01,114
South Dakota,2024-11-01,70
Washington,2023-11-01,472
Connecticut,2026-02-01,68
District of Columbia,2023-03-01,16
Georgia,2024-09-01,5
Michigan,2022-09-01,639
Manitoba,2025-06-01,116
West Virginia,2025-09-01,64
Arkansas,2024-02-01,40
West Virginia,2024-02-01,61
Nova Scotia,2022-11-01,12
New Brunswick,2024-07-01,25
Delaware,2023-03-01,12
Arkansas,2023-08-01,40
Texas,2025-11-01,11
District of Columbia,2023-12-01,18
Rhode Island,2024-11-01,8
Rhode Island,2026-03-01,9
North Dakota,2025-08-01,8
Texas,2023-11-01,9
Texas,2023-01-01,8
North Dakota,2026-01-01,8
Nova Scotia,2025-12-01,17
Minnesota,2023-01-01,38
North Dakota,2025-10-01,8
North Dakota,2024-02-01,8
