STATE,SALES_MONTH,CATEGORY_GROUP,TOTAL_DOLLARS
Florida,2022-09-01,Concentrates,13076475.51
Arizona,2022-09-01,Edibles,9882455.06
Nevada,2022-09-01,Flower,24120923.29
Maryland,2022-09-01,Other,781579.93
Washington,2022-09-01,Other,4226061.10
Pennsylvania,2022-09-01,Other,4652347.90
Delaware,2022-09-01,Edibles,143601.94
Arkansas,2022-09-01,Edibles,3070003.88
Rhode Island,2022-09-01,Edibles,21010.72
Rhode Island,2022-09-01,Pre-Rolls,20695.40
South Dakota,2022-09-01,Flower,549312.39
Nova Scotia,2022-09-01,Other,797.20
Louisiana,2022-09-01,Vapes,26452.34
Texas,2022-09-01,Flower,121356.74
Maryland,2022-09-01,Flower,19754104.54
Maine,2022-09-01,Other,3225275.39
Oklahoma,2022-09-01,Vapes,27567006.89
Louisiana,2022-09-01,Concentrates,5642.04
North Dakota,2022-09-01,Vapes,389089.58
Yukon,2022-09-01,Vapes,107069.57
Delaware,2022-09-01,Vapes,786138.90
Yukon,2022-09-01,Concentrates,40537.45
South Carolina,2022-09-01,Other,0.00
South Carolina,2022-09-01,Pre-Rolls,0.00
Massachusetts,2022-09-01,Concentrates,5731105.99
Montana,2022-09-01,Pre-Rolls,481300.47
Oregon,2022-09-01,Other,4087065.61
Manitoba,2022-09-01,Vapes,2721969.48
West Virginia,2022-09-01,Flower,2055726.02
Alaska,2022-09-01,Vapes,214519.65
Alaska,2022-09-01,Pre-Rolls,238612.97
New Mexico,2022-09-01,Other,1724573.36
Virginia,2022-09-01,Vapes,1299761.87
Maine,2022-09-01,Pre-Rolls,3943272.43
Arkansas,2022-09-01,Vapes,5331904.71
Hawaii,2022-09-01,Flower,1314169.45
Northern Mariana Islands,2022-09-01,Other,0.00
Nunavut,2022-09-01,Pre-Rolls,75510.41
Michigan,2022-09-01,Other,2671058.42
Oklahoma,2022-09-01,Pre-Rolls,15962802.69
Saskatchewan,2022-09-01,Pre-Rolls,1669823.08
Delaware,2022-09-01,Concentrates,194432.77
New Hampshire,2022-09-01,Other,133817.07
Maryland,2022-09-01,Concentrates,3504571.96
Yukon,2022-09-01,Flower,261860.66
Montana,2022-09-01,Concentrates,528418.69
Massachusetts,2022-09-01,Vapes,33968006.24
North Dakota,2022-09-01,Flower,652148.01
New Jersey,2022-09-01,Edibles,4564247.59
Connecticut,2022-09-01,Edibles,719093.62
Puerto Rico,2022-09-01,Pre-Rolls,1164.45
Nova Scotia,2022-09-01,Concentrates,18044.62
Yukon,2022-09-01,Pre-Rolls,152576.69
Iowa,2022-09-01,Concentrates,49618.20
Utah,2022-09-01,Concentrates,152320.78
Missouri,2022-09-01,Pre-Rolls,1869518.18
Washington,2022-09-01,Pre-Rolls,14596617.94
South Dakota,2022-09-01,Other,256002.21
Ohio,2022-09-01,Vapes,9449603.38
Virginia,2022-09-01,Edibles,446794.93
South Dakota,2022-09-01,Vapes,395227.65
South Carolina,2022-09-01,Vapes,0.00
Iowa,2022-09-01,Edibles,12181.59
Alberta,2022-09-01,Other,7307601.30
Texas,2022-09-01,Other,234327.31
New Mexico,2022-09-01,Pre-Rolls,3889913.47
Saskatchewan,2022-09-01,Other,1364924.18
New Brunswick,2022-09-01,Pre-Rolls,583119.17
Oregon,2022-09-01,Concentrates,9485016.43
Alberta,2022-09-01,Concentrates,2991987.26
Nevada,2022-09-01,Pre-Rolls,7376120.13
Nevada,2022-09-01,Concentrates,2780317.03
New York,2022-09-01,Pre-Rolls,432695.27
District of Columbia,2022-09-01,Vapes,810868.46
Louisiana,2022-09-01,Other,36857.29
New York,2022-09-01,Concentrates,39289.77
Minnesota,2022-09-01,Vapes,232946.00
Texas,2022-09-01,Vapes,232036.68
Maryland,2022-09-01,Vapes,9041182.25
Utah,2022-09-01,Pre-Rolls,1226.50
West Virginia,2022-09-01,Edibles,0.00
California,2022-09-01,Other,10774232.64
New Hampshire,2022-09-01,Flower,56253.49
California,2022-09-01,Vapes,100281133.53
Puerto Rico,2022-09-01,Edibles,1282847.04
Oklahoma,2022-09-01,Edibles,29225353.53
Arizona,2022-09-01,Flower,51024381.72
Alaska,2022-09-01,Concentrates,119962.63
Puerto Rico,2022-09-01,Other,378801.86
Newfoundland and Labrador,2022-09-01,Pre-Rolls,998058.02
Michigan,2022-09-01,Flower,105336383.72
Pennsylvania,2022-09-01,Vapes,23775050.82
Texas,2022-09-01,Pre-Rolls,54320.29
North Dakota,2022-09-01,Edibles,0.00
Florida,2022-09-01,Vapes,28331551.38
District of Columbia,2022-09-01,Concentrates,85716.69
Maryland,2022-09-01,Edibles,5338070.96
New Jersey,2022-09-01,Concentrates,1825266.80
Vermont,2022-09-01,Other,129370.02
District of Columbia,2022-09-01,Edibles,265213.74
South Dakota,2022-09-01,Edibles,192788.31
Oklahoma,2022-09-01,Concentrates,10219667.60
Washington,2022-09-01,Concentrates,9333348.23
California,2022-09-01,Edibles,38136671.03
Minnesota,2022-09-01,Concentrates,0.00
Alaska,2022-09-01,Flower,983012.03
British Columbia,2022-09-01,Flower,23841375.54
Missouri,2022-09-01,Flower,18354548.59
Colorado,2022-09-01,Concentrates,19136988.76
Florida,2022-09-01,Other,4605862.30
Hawaii,2022-09-01,Concentrates,546310.03
Louisiana,2022-09-01,Pre-Rolls,72771.42
West Virginia,2022-09-01,Vapes,824243.08
Nunavut,2022-09-01,Flower,170134.17
Ohio,2022-09-01,Edibles,5755131.82
New Brunswick,2022-09-01,Edibles,244766.38
Arkansas,2022-09-01,Flower,12760311.13
Minnesota,2022-09-01,Pre-Rolls,158081.11
California,2022-09-01,Pre-Rolls,53551861.15
